Timestamp,Label,Start_offset,End_offset,Description,Camera_view,Annotation_view
0;09,Intro,2,1,,,
2;04,Walk,2,1,,,
2;17,Wave,2,1,,,
9;33,Skill,3,2,,,
23;24,Save,5,2,Skip,,
29;19,Block,4,2,Skip,,
32;48,Shot,3,2,,,
34;44,Shot,4,2,,,
49;57,Save,4,2,Skip,,
52;18,Block,4,2,Skip,,
55;42,Save,4,2,Skip,,
59;00,Yellow Card,4,2,Skip,,
59;50,Save,4,2,,,
1;06;32,Shot,4,2,,,
1;15;04,Shot,4,2,,,
1;22;25,Goal!,4,3,Penalty Kick,,
1;23;57,Save,4,4,Penalty Save,,
1;25;03,Save,4,2,Penalty Save,,
1;25;51,Goal!,4,2,Penalty Kick,,
1;26;34,Goal!,4,2,Penalty Kick,,
1;27;32,Goal!,4,2,Penalty Kick,,
1;28;16,Shot,4,2,Penalty Miss,,
1;28;57,Goal!,4,2,Penalty Kick,,
1;29;43,Shot,4,11,Penalty Miss,,
1;32;46,FullTime,3,2,,,
1;33;49,End,0,0,End of video!,both,
