# AI-Validated Timeline - 19-20250419
# Generated: 2025-08-04T23:42:10.258992
# Method: Gemini 2.5 Pro intelligent validation
# Context: Error-correcting fallible clip descriptions

Here is the error-corrected analysis of the match timeline.

### **VALIDATED GOALS**

1.  **Timestamp:** 80:13
    *   **Team:** Blue/Black Team
    *   **Description:** A goal scored from an attack down the left wing. The description states a shot was taken at 80:12, resulting in a goal.
    *   **Supporting Evidence:** A kickoff is explicitly mentioned in the subsequent clip at **80:45** ("The Light Blue team kicks off the match"). This provides the necessary confirmation.
    *   **Confidence:** High

2.  **Timestamp:** 92:42
    *   **Team:** Red/Claret Team
    *   **Description:** Scored from a loose ball inside the penalty area. A Red player was tackled, but a teammate recovered the ball and shot to score.
    *   **Supporting Evidence:** The goal is strongly corroborated by the following clip at **92:45** ("Red team scores a goal and celebrates") and is followed by a confirmed kickoff at **93:00** ("Blue team kicks off").
    *   **Confidence:** High

3.  **Timestamp:** 95:04
    *   **Team:** Blue/Black Team
    *   **Description:** A goal scored from a shot outside the penalty box, following a defensive header clearance by the Red/Claret team.
    *   **Supporting Evidence:** The goal is validated by a kickoff that occurs immediately after at **95:15** ("Blue team kicks off").
    *   **Confidence:** High

4.  **Timestamp:** 100:07
    *   **Team:** Red/Claret Team
    *   **Description:** A successfully converted penalty kick.
    *   **Supporting Evidence:** Although the subsequent clip at 100:15 incorrectly mentions a goal kick, a valid kickoff is confirmed at **100:45** ("the light blue team takes the kickoff"). Per the rules, this validates the goal.
    *   **Confidence:** High

---
### **VALIDATED SHOTS**

*   **03:33** - **Red Team** - Shot from outside the box. **Outcome: Missed (Over the goal)**. Evidence: Explicitly stated in the description.
*   **04:42** - **Blue Team** - Header towards goal from a long throw-in. **Outcome: Saved**. Evidence: "the Red team's goalkeeper makes a save."
*   **04:48** - **Red Team** - Shot from outside the box. **Outcome: Saved**. Evidence: "Goalkeeper makes a diving save."
*   **07:27** - **Blue Team** - Header from a cross. **Outcome: Missed (Wide)**. Evidence: "A Blue player's header goes wide of the goal."
*   **09:13** - **Blue Team** - Header from a free-kick cross. **Outcome: Missed (Over)**. Evidence: "The header attempt goes over the crossbar."
*   **09:17** - **Red Team** - Shot from inside the penalty area. **Outcome: Missed (Wide)**. Evidence: "The shot goes wide of the post for a goal kick."
*   **10:13** - **Blue Team** - One-on-one shot from inside the penalty area. **Outcome: Saved**. Evidence: "The goalkeeper makes a diving save."
*   **11:24** - **Red Team** - Header attempt from a cross. **Outcome: Missed (Over)**. Evidence: "Header attempt goes over the goal."
*   **12:17** - **Blue Team** - Shot from just outside the penalty area. **Outcome: Blocked**. Evidence: "The shot is blocked by a defender."
*   **12:59** - **Blue Team** - Header from a free kick. **Outcome: Saved**. Evidence: "goalkeeper makes the save."
