Club Name,Recordings,Club Identifier,Country,Activity_Score
2011B MUSA Flyers,42,2011-musa-flyers-boys,United States,42.0
2013 Crusaders AAA,16,2013-crusaders-aaa,United States,16.0
Academia Deportivo Cali USA,211,academia-deportivo-cali-usa,United States,211.0
AC-Musashi,74,ac-musashi,United States,74.0
ASC USA,59,asc-usa,United States,59.0
AE Santa Susanna,13,ae-santa-susanna,United States,13.0
BUSA/AFC,78,alabama-futbol-club-f9a49de1,United States,78.0
Busa,111,alabama-football-club,United States,111.0
FLORIDA PREMIER,170,arodchargers-soccer-club,United States,170.0
Calcio Brusaporto,103,asd-calcio-brusaporto,United States,103.0
Brusaporto Esordienti,103,asd-calcio-brusaporto-esordienti,United States,103.0
ASG Florida 05-06  Boys,41,florida-05-06-boys,United States,41.0
ASG Florida 2008B,171,asg-warner,United States,171.0
Aspire USA,61,aspire-usa,United States,61.0
AFC - California,129,association-football-club-4,United States,129.0
Association sportive de la  MUSAU,39,as-musau-855a3ae8,United States,39.0
AUSA,191,athens-united-soccer-association,United States,191.0
Atletico Lusaka,428,athletico-lusaka-football-club,United States,428.0
Azusa AztecSixSix,54,azusa-aztec-sixsix,United States,54.0
B1 USA,155,b1-soccer-academy-usa,United States,155.0
Barça Academy New York - Girls 2009,41,barca-academy-pro-new-york-g2009-pro,United States,41.0
Barca Residency Academy USA,162,barca-residency-academy-usa-000d4477,United States,162.0
Barcelona USA MARYLAND,124,barcelona-usa-md,United States,124.0
Bartosz Ślusarski,23,auto-spa-stachowska-slusarska-sp-k-c973eba2,United States,23.0
Beitar Jerusalem,414,beitar-jerusalem-6e4a860a,United States,414.0
BUSA,405,birmingham-united-soccer-association-2,United States,405.0
Bishop (Florida),42,bishop-florida,United States,42.0
Boy's Texas RL,219,west-side-alliance-boys,United States,219.0
BSC Texas,69,bsc-2008g,United States,69.0
BUSA-AFC,205,busa-afc,United States,205.0
BUSA,193,busa-brazilian-united-sa,United States,193.0
BUSA Kent Island,215,busa-kent-island,United States,215.0
California Area Trojans Boys Varsity Soccer,29,california-area-trojans-boys-varsity-soccer,United States,29.0
California Athletic Soccer Club - Vermillion,12,california-athletic-soccer-club-vermillion,United States,12.0
California Football Academy,135,cfa-09-brasil,United States,135.0
California Odyssey 2012G-NPL,83,california-odyssey-2012g-red,United States,83.0
California Rush,59,california-rush-49614762,United States,59.0
California Rush- Guzman,104,california-rush-f585810e,United States,104.0
California United FC,10,california-united,United States,10.0
California United FC,141,099990009-split-av-water-02-review-email-regarding,United States,141.0
Florida celtic,32,celtic-13aa1b5f,United States,32.0
Central California Soccer Alliance,20,central-california-soccer-alliance-09g-8734aded,United States,20.0
Florida Footballers,31,auburndale-scream-u12g,United States,31.0
Central Florida SC,186,central-florida-soccer-club,United States,186.0
Central Florida United,15,central-florida-united,United States,15.0
Cholusatsur,23,cholusatsur,United States,23.0
Crusaders,46,crusaders-36c28686,United States,46.0
Crusaders,25,crusaders-1a1245d8,United States,25.0
Crusaders FC,323,crusaders-futbol-club,United States,323.0
Crusaders,204,crusaders-futsal-club,United States,204.0
Crusaders Rugby Club,50,crusaders-rugby-club-a52cf461,United States,50.0
Crusaders Soccer Club,96,crusaders-soccer-club-c4ec4a70,United States,96.0
Crusaders,169,crusaders-strikers,United States,169.0
Concordia University Texas,149,ctx-soccer,United States,149.0
USA North Soccer,62,daniel-scarbrough,United States,62.0
FCUSA Dobes,131,daniel-smith-2,United States,131.0
Dings Crusaders,58,dings-crusaders-rfc,United States,58.0
TUSA06 Düsseldorf,279,djk-tusa-06-dusseldorf-ev,United States,279.0
Eastern New York Youth Soccer Association,48,eastern-new-york-youth-soccer-association,United States,48.0
East Florida United,178,east-florida-united-grass-roots-sport-club,United States,178.0
