Club Name,Country,Activity_Score,Phones,Emails,Website,Contact_Found
FC Fredericia,England,5493.0,[],[],,False
Misato JrYouth FC,England,4005.0,[],[],,False
Ipswich Town FC,England,3663.0,[],[],,False
Florida Premier FC,United States,3325.0,[],[],,False
FC København,England,3316.0,[],[],,False
Florida Kraze Krush,United States,3193.0,[],[],,False
Maryland United,England,3131.0,[],[],,False
Atlanta United Academy,England,3080.0,[],[],,False
Manly United FC,England,2946.0,[],[],,False
Michigan Jaguars FC,England,2779.0,[],[],,False
