Club Name,Country,Emails,Phones,Websites,Contact Found
Ballers of London,England,,,https://www.tripadvisor.fr/Hotels-g294217-Hong_Kong-Hotels.html; https://www.booking.com/city/hk/hong-kong.fr.html; https://www.kayak.fr/Hong-Kong-Hotels.23190.hotel.ksp,False
City of London Academy Southwark,England,,,,False
East London Athletic,England,,0793010266; 07930102667,https://sportsclubfinders.co.uk/east-london-athletic-f-c; https://www.playerwanted.co.uk/team/east-london-athletic; https://londonyouthpremiershowcase.com/team/east-london-athletic-fc/,True
East London Ballers,England,,07715 393628; 7921 100267; 7715 393628; 7771 617384; 7708 882495; 7986 214166; 07771 617384; 07986 214166; 07708 882495; 07921 100267,https://www.ceoemail.com/s.php?id=address-19564907; https://www.new.escfl.co.uk/clubs/east-london-ballers-under-23s/; https://www.escfl.co.uk/clubs/east-london-ballers/,True
Elite London Academy,England,,,,False
FC Bobyor,England,,,https://www.youtube.com/@fcbobyor; https://kildarecoco.ie/YourCouncil/CustomerService/ContactUs/; https://www.fai.ie/about/contact/,False
FC Petrocub London,England,,,https://www.zhihu.com/question/607822173; https://www.zhihu.com/tardis/bd/art/8370202774; https://www.zhihu.com/question/24515643,False
FA Wisla Krakow London,England,,,https://www.zhihu.com/question/37390447?sort=created; https://www.zhihu.com/question/49028942; https://zhidao.baidu.com/question/1443204395507026379.html,False
GOZTEPE_FC_LONDON,England,,(232) 2473617; 1304236393; (232) 2473616; 1298437408; 1299440116,https://www.goztepe.org.tr/; https://en.wikipedia.org/wiki/Göztepe_S.K.; https://www.sofascore.com/team/football/goztepe/3054,True
LAFC,England,,,,False
Londonballerz,England,,,,False
London Bees,England,acracknell@thehivelondon.com; dmartin@thehivelondon.com; tellus@thehivelondon.comcopyright; tellus@thehivelondon.com,,https://londonbeesfc.com/contact-page/; https://londonbeesfc.com/contacts/; https://londonbeesfc.com/contact-us/,True
London Bees,England,tellus@thehivelondon.com,,https://londonbeesfc.com/contact-page/; https://londonbeesfc.com/contact-us/; https://www.crunchbase.com/organization/london-bees,True
London Bees,England,tellus@thehivelondon.comcopyright,,https://londonbeesfc.com/contact-page/; https://rocketreach.co/london-bees-profile_b567f592f682384d; https://www.crunchbase.com/organization/london-bees,True
London Cheetahs FC,England,,9780470619; 1304319480; 9781405049; 02001689017; 0000000003; 9780190296; 0305803413; 9781139163; 97804706196; 9781317047; 9781351167; 00000000038; 1277223903; 97813511677; 97814050492; 9781785360; 97813170473; 97811391635; 1299440116; 1850660316; 97804150209; 97807190184; 9781856191; 97818561915; 97806000168; 9780192801; 1334658464; 9780415020; 0521089807; 97898144353; 9789814435; 97801902966; 9780600016; 0200168901; 97801928010; 2010282921; 1298437408; 97817853606; 9780719018; 0470619651,https://en.wikipedia.org/wiki/London; https://www.visitlondon.com/things-to-do/101-things-to-do-in-london; https://www.britannica.com/place/London,True
London City Lionesses,England,,9780470619; 1304319480; 9781405049; 02001689017; 0000000003; 9780190296; 0305803413; 9781139163; 97804706196; 9781317047; 9781351167; 00000000038; 1277223903; 97813511677; 97814050492; 9781785360; 97813170473; 97811391635; 1299440116; 1850660316; 97804150209; 97807190184; 9781856191; 97818561915; 97806000168; 9780192801; 1334658464; 9780415020; 0521089807; 97898144353; 9789814435; 97801902966; 9780600016; 0200168901; 97801928010; 2010282921; 1298437408; 97817853606; 9780719018; 0470619651,https://en.wikipedia.org/wiki/London; https://www.visitlondon.com/things-to-do/101-things-to-do-in-london; https://www.britannica.com/place/London,True
London Colney Colts,England,,9780470619; 1304319480; 9781405049; 02001689017; 0000000003; 9780190296; 0305803413; 9781139163; 97804706196; 9781317047; 9781351167; 00000000038; 1277223903; 97813511677; 97814050492; 9781785360; 97813170473; 97811391635; 1299440116; 1850660316; 97804150209; 97807190184; 9781856191; 97818561915; 97806000168; 9780192801; 1334658464; 9780415020; 0521089807; 97898144353; 9789814435; 97801902966; 9780600016; 0200168901; 97801928010; 2010282921; 1298437408; 97817853606; 9780719018; 0470619651,https://en.wikipedia.org/wiki/London; https://www.visitlondon.com/things-to-do/101-things-to-do-in-london; https://www.britannica.com/place/London,True
London Cornish,England,lca@londoncornish.co.uk; dmoon@stpirran.com,1344 775946; 01344 775946,http://www.londoncornish.co.uk/contact/; https://www.pitchero.com/clubs/londoncornishrfc/contact/contact-official-226246; https://contactout.com/company/London-Cornish-RFC-50101,True
