Club Name,Country,Recordings
FC Fredericia,England,5493
Misato JrYouth FC,England,4005
Ipswich Town FC,England,3663
Florida Premier FC,England,3325
FC København,England,3316
Maryland United,England,3131
Atlanta United Academy,England,3080
Manly United FC,England,2946
Michigan Jaguars FC,England,2779
Sheffield United Academy,England,2651
Beach FC Boys,England,2639
Everton,England,2617
Chelsea Academy VEO,England,2466
Athletic Club,England,2455
Ambassadors FC,England,2424
Maccabi Haifa fc,England,2267
FC Estrella,England,2256
Inter CT FC,England,2134
FC Honka,England,2112
GUAYAQUIL CITY F.C.,England,2089
NEWARK FC,England,2026
FC Flora,England,2015
Liverpool FC IA Michigan Central,England,1941
Fleetwood Town,England,1905
Arizona Arsenal Soccer Club,England,1811
Lions FC,England,1810
Austin FC,England,1791
Chicago FC United,England,1772
Keystone FC,England,1763
Mounties Wanderers FC,England,1690
Manchester City FC,England,1626
FC PLANET,England,1604
ASTON VILLA WOMEN,England,1538
Länk FC Vilaverdense,England,1535
FC Mirage,England,1527
Bulls FC Academy,England,1480
Brisbane City FC,England,1470
Michigan Wolves,England,1438
Midwest United FC,England,1406
Columbus United,England,1394
Kashima Antlers FC,England,1389
CIBAO FC,England,1338
Logan FC,England,1309
Blackpool FC,England,1295
Eugene Metro FC,England,1295
Burnley FC,England,1280
FC Tampa Rangers,England,1253
Florida United,England,1253
Arsenal Football Club PLC,England,1229
Cheltenham Town Academy,England,1184
