Club Name,Country,Recordings,Emails,Phones,Websites,Contact Found
Ambassadors FC,England,2424,estevenson@ambassadorsfootball.org; dlivingstone@ambassadorsfootball.org; sglass@ambassadorsireland.org,0775275844; 07752758444; 07761839976; 0776183997; 0773901714; 07739017143,https://www.irishfa.com/find-a-club/ambassadors-fc; https://ambassadorsfootball.org/location/page/7/; https://admin.ambassadorsfootball.org/location/ireland/,True
Fleetwood Town,England,1905,ftflyersfcsecretary@yahoo.com,1253 872444; 1253 775080; 01253 775080; 01253 872444,https://fleetwoodtownfcct.com/contact/; https://www.fleetwoodtowncouncil.org.uk/contact.php; https://ftjfc.co.uk/club-contacts,True
Mansfield Town,England,1152,info@mansfieldtown.net,01623 482483; 07977428147; 1623 482483; 0797742814; 2483199886; 8964359750,https://contactout.com/company/mansfield-town-football-club-5305; https://mansfieldtownfc.ktckts.com/contactus; https://sports-facilities.co.uk/sites/view/6014805,True
Lewes FC,England,1035,info@lewesfc.comwomens; lynne@lewesfc.com; maggie@lewesfc.comthanks; hello@mailme.com; simon@lewesfc.com; hello@mailme.comabout; maggie@lewesfc.com,01234 567891; 1234 567891,https://lewesfc.com/about-us/management/; https://media.lewesfc.com/contact-us/; https://lewesfc.com/,True
Eastleigh FC,England,1031,media@eastleighfc.com; admin@eastleighfc.com; tickets@eastleighfc.com; secretary@eastleighfc.com; tomc@eastleighfc.com,0238061336; 02380613361,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/5147514/contact-information; https://eastleighfc.com/club/contact/; https://pitchfinder.org.uk/map/site/1042409/,True
Macclesfield FC,England,1031,info@macclesfieldfc.com,1625 264686; 1625 264692; 01625 264686; 01625 264692,https://macclesfieldfc.com/fans/get-in-touch/; https://macclesfieldfc.com/team/macclesfield-fc/; https://macclesfieldfc.com/?mobile=false,True
Chatham Town,England,918,info@kickitout.org,1634 401130; 1634 812194; 01634 812194; 01634 401130,https://www.city-town.uk/town-chatham-kent.html; https://www.footballwebpages.co.uk/chatham-town/club-information; https://www.chathamtownfc.com/club/how-to-find-us/,True
Chatham Town,England,628,,,,False
Macclesfield FC,England,46,,,,False
Fleetwood Town,England,43,,,,False
Chatham Town,England,42,,,,False
Atherton Laburnum Rovers,England,116,,,,False
Barton Rovers,England,115,secretary@bartonroversfc.com; info@bartonroversyouth.com,0000164201; 0000000047; 0000000099; 0000000093; 7946 189416; 0000000108; 0000000100; 0000000059; 0000000052; 0000038808; 0000005931; 0000016735; 0000000102; 0000000122; 07447645129; 0000000096; 0000000115; 0000013607; 0000041601; 0000000292; 0000000120; 0000000114; 0000000048; 0000000017; 0000000086; 0000000126; 0000000055; 0000000098; 0000000110; 0000005051; 0000094995; 0000000581; 0000004356; 0000000051; 0000000079; 0000000124; 0000000045; 0000000101; 0000000091; 0000000067; 0000000078; 0000034921; 0000000109; 0000000057; 0000000119; 0000000043; 0000168407; 0000035448; 0000000065; 07946 189416; 0000000117; 0000094675; 0000009876; 0000020445; 0000000084; 0000164887; 0000004530; 0000000080; 0000000104; 0000027165; 0000000106; 0000000060; 0000000062; 0000000095; 0000000076; 0000000094; 0000031007; 0000000068; 0000000112; 0000000125; 0000034681; 0000000071; 0000030706; 0000000077; 0000165239; 0000000089; 0000000123; 0000026884; 0000000050; 0000000165; 0000000072; 0000000069; 0000000058; 0000034847; 0000000111; 0000000116; 0000168453; 0000005616; 0000000042; 0000000074; 0000000082; 0000000000; 0000020164; 0000000103; 0000000056; 0000000097; 0000039090; 0000040121; 0000041904; 1074476451; 7976 224481; 0000034513; 0000095383; 0000000066; 0000017016; 0000000073; 0000000081; 0000000121; 0000000113; 07976 224481; 0000000046; 0000000064; 0000000118; 0000000092; 0000000061; 0000034651; 0000000070; 0000000105; 0000000087; 0000000044; 0000004828; 0000000083; 10744764512; 0000005690; 0000000075; 0000006222; 0000000049; 0000000107; 0000004881; 0000010167; 0000000088; 0000004775; 0000005425; 0000000063; 0000000053; 0000094104; 0000023868; 0000013326; 0000000054; 0000000085; 0000005455; 0000005292; 0000023587; 0000035167; 0000000090,https://www.bartonroversfc.com/officials/; https://rdsl-football.co.uk/Docs/ClubsDirectory2025-2026.pdf; https://thewfa.co.uk/directory/barton-le-clay/,True
Basketball England,England,158,,,https://www.schoenen-dunk.de/topic/136007/ncaa-college-basketball?page=5; https://www.schoenen-dunk.de/topic/136605/1-regionalliga-nord-2025-26; https://www.schoenen-dunk.de/category/9/bbl,False
Birmingham Futsal,England,328,,,https://www.zhihu.com/question/53485308; https://www.zhihu.com/question/649416120; https://www.zhihu.com/question/601367102,False
Blackburn Rovers Football Club,England,343,,,https://translate.google.pl/; https://translate.google.com/intl/pl/about/; https://www.deepl.com/pl/translator/l/pl/vi,False
Blackburn Rovers,England,787,,61840029607; 6184002960; 00296078832,https://support.google.com/translate/answer/6350850?hl=ja&co=GENIE.Platform=Desktop; https://support.google.com/translate/answer/2534559?hl=en&co=GENIE.Platform=Desktop; https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform=Desktop,True
Blackburn Rovers,England,205,,,https://www.facebook.com/sign%in/; https://www.facebook.com/; https://apps.apple.com/gr/app/facebook/id284882215?l=el,False
Broadford Rovers Football Club,England,165,,1299440116; 1290034144; 1298437408,"https://en.wikipedia.org/wiki/Broadford,_Skye; https://visitclare.ie/places/broadford/; https://www.tripadvisor.co.uk/Attractions-g551872-Activities-Broadford_Isle_of_Skye_The_Hebrides_Scotland.html",True
