Club Name,Recordings,Club Identifier,Country,Activity_Score
Ambassadors FC,2424,ambassadors-football-club,England,2424.0
Fleetwood Town,1905,aidan-adamson,England,1905.0
Mansfield Town,1152,mansfieldtownacademy,England,1152.0
Lewes FC,1035,lewes-fc-women,England,1035.0
Eastleigh FC,1031,eastleigh-football-club,England,1031.0
Macclesfield FC,1031,pro-football-academy,England,1031.0
Chatham Town,918,chatham-town,England,918.0
Chatham Town,628,chatham-town-football-club,England,628.0
Macclesfield FC,46,northwich-victoria-e3266752,England,46.0
Fleetwood Town,43,fleetwood-town,England,43.0
Chatham Town,42,chatham-town-athletic,England,42.0
Atherton Laburnum Rovers,116,atherton-laburnum-rover,England,116.0
Barton Rovers,115,potton-united-r,England,115.0
Basketball England,158,basketball-2896a4d2,England,158.0
Birmingham Futsal,328,birmingham-futsal,England,328.0
Blackburn Rovers Football Club,343,blackburn-rovers-football-club-594b0413,England,343.0
Blackburn Rovers,787,blackburn-rovers-football-club,England,787.0
Blackburn Rovers,205,blackburn-rovers-ladies-71388a80,England,205.0
Broadford Rovers Football Club,165,broadford-rovers-fc-750d3f73,England,165.0
Chelsea Rovers,217,chelsea-rovers-football-club,England,217.0
Claudelands Rovers,105,claudelands-rovers-sports-club-incorporated,England,105.0
Doncaster Rovers,350,doncaster-rovers-football-club-3,England,350.0
East London Athletic,190,dartford-fc-8,England,190.0
Elite London Academy,115,elite-london-academy-3,England,115.0
England Amputee Football Association,190,england-amputee-football-association,England,190.0
Eynesbury Rovers,122,eynesbury-rovers-84b91f92,England,122.0
Godmanchester Rovers,180,godmanchester-rovers-football-club,England,180.0
Gresley Rovers,236,gresley-rovers-football-club,England,236.0
Haverhill Rovers,194,haverhill-rovers-football-club,England,194.0
England IWFF,104,ian-furlong,England,104.0
Kempston Rovers,215,kempston-rovers-football-club,England,215.0
Letterkenny Rovers,243,letterkenny-rovers,England,243.0
LIVERPOOL F.C,898,liverpool-futbol-club-cb1aac9e,England,898.0
London Bees,291,barnet-fc,England,291.0
London Football School,222,london-football-school-0393ac66,England,222.0
London Lions,113,nwl-azzurri,England,113.0
London Lions,332,london-lions-group-limited,England,332.0
London Wayfarers,140,london-wayfarers-hc,England,140.0
Lymm Rovers,213,lymm-rovers-f0392ba8,England,213.0
Manchester Futsal Club,164,manchester-futsal-club,England,164.0
Manchester Magic,156,manchester-magic-and-mystics,England,156.0
Manchester,137,manchester-rugby-club,England,137.0
Manchester Titans,188,manchester-titans-afc,England,188.0
