Club Name,Recordings,Club Identifier,Country,Activity_Score
Ipswich Town FC,3663,ipswich-town-football-club,England,3663.0
Sheffield United Academy,2651,alex-delves,England,2651.0
LouCity/Racing Academy,2591,louisville-city-youth-academy,England,2591.0
Fleetwood Town,1905,aidan-adamson,England,1905.0
Lions FC,1810,queensland-lions-fc,England,1810.0
Bulls FC Academy,1480,northbridge-football-club-2,England,1480.0
Cheltenham Town Academy,1184,cheltenham-town-academy,England,1184.0
Mansfield Town,1152,mansfieldtownacademy,England,1152.0
FC Portland Soccer Academy,1122,fc-portland-soccer-academy,England,1122.0
Chatham Town,918,chatham-town,England,918.0
GFC Training,900,gfc-training,England,900.0
HBS FC Academy,809,hapoel-beer-sheba,England,809.0
Cambrian United Academy,809,cambrian-clydach-vale-bgc-academy-2,England,809.0
AL AIN FC YOUTH ACADEMY,794,al-ain-football-club,England,794.0
Charlotte FC Academy,770,charlotte-football-club-2,England,770.0
Edgeworth Eagles FC,747,edgeworth-eagles-fc-2,England,747.0
Miramar United Elite FC,724,miramar-united-elite-fc,England,724.0
Manchester United Academy,711,manchester-united-academy,England,711.0
City Football Academy,707,city-football-academy,England,707.0
Chatham Town,628,chatham-town-football-club,England,628.0
Brooklyn United Academy,623,next-level,England,623.0
FC Sion ELITE,592,fc-sion-elite,England,592.0
Ilkley Town AFC,588,ilkley-town-community-football-ltd,England,588.0
Cincinnati United North,557,cincinnati-united-soccer-club-2,England,557.0
Dundee FC Academy,552,dundee-fc-academy-2,England,552.0
Highline Premier FC,544,highline-premier-football-club,England,544.0
Monmouth United Premier,529,monmouth-united-soccer-club,England,529.0
Birkirkara FC Youth Academy,508,birkirkara-fc-youth-academy,England,508.0
Indiana Elite FC,456,indiana-elite-fc-ac494591,England,456.0
FC Wolves Norwalk,456,fc-wolves-norwalk,England,456.0
Hull City Academy,431,hull-city-academy-veo,England,431.0
City of London School,423,city-of-london-school,England,423.0
Ayr United Football Academy,419,ayr-united-football-academy,England,419.0
Maiden City Academy,414,maiden-city,England,414.0
Cheltenham Town FC Ltd (Hereford Development),408,cheltenham-town-dc-hereford,England,408.0
Grimsby Town Football Club,402,grimsby-town-football-club,England,402.0
Ebbsfleet United FC Academy,401,ebbsfleet-united-fc-academy,England,401.0
BASINGSTOKE TOWN FC,398,basingstoke-town-community-football-club,England,398.0
Ipswich Town Foundation,398,ipswich-town-community-trust,England,398.0
Ipswich Knights FC,392,ipswich-knights-football-club-3,England,392.0
Fort Wayne United Academy FC,387,fort-wayne-united-academy-fc,England,387.0
Lions FC,376,lions-fc,England,376.0
Carolina Core FC Youth,370,piedmont-triad-football-club,England,370.0
Calgary West FC,367,calwest-football-club,England,367.0
MNUFC Academy,363,minnesota-united-fc-academy,England,363.0
LCFC Women Academy,355,louis-sowe-3,England,355.0
Girls - SoCal Elite FC,354,socal-elite-fc-aaece614,England,354.0
London Lions,332,london-lions-group-limited,England,332.0
East Fife CFC,329,east-fife-community-football-club,England,329.0
BSC Tottenham Hotspur FC & Academy Sports,325,bsc-tottenham-hotspur,England,325.0
Europa Lions FC,320,europa-lions-fc,England,320.0
Cape Town Spurs Football Club,314,coenrad,England,314.0
Gold Coast United,309,souths-united,England,309.0
Clevedon Town,302,clevedon-town-football-club-3,England,302.0
Carmarthen Town,299,carmarthen-town-844b9b4d,England,299.0
Caernarfon Town Football Club.,290,caernarfon-town-football-club-academy,England,290.0
FC Central IL,289,illinois-fire-juniors,England,289.0
Garden City High School,288,garden-city-high-school,England,288.0
Harrogate Town,287,harrogate-town,England,287.0
Chippenham Town FC,284,chippenham-town-fc,England,284.0
Barry Town United,281,barry-town-united,England,281.0
Blitz Academy FC,279,tulsa-sheffield-united,England,279.0
Kingscliff Wolves FC,279,kingscliff-district-football-club,England,279.0
FC1 Soccer Academy and Glenview Soccer Club,273,fc1-academy-and-glenview-soccer-club,England,273.0
Llanelli Town Academy,273,llanelli-town-academy-14ac7faa,England,273.0
Harlow Town,272,st-margaretsbury-yellows,England,272.0
Cambridge United Academy,269,cambridge-united-football-club-3,England,269.0
Barnhurst Lane Lions FC,266,stoke-regional-talent-centre,England,266.0
Indy Phoenix FC,259,indy-phoenix-fc,England,259.0
Merthyr Town,257,merthyr-town-football-club,England,257.0
Central Kansas United,256,fc-wichita-north,England,256.0
FC Stars White ECNL - SM,255,fc-stars-white-ecnl,England,255.0
