Club Name,Recordings,Club Identifier,Country,Activity_Score
Ballers of London,10,ballers-of-london,England,10.0
City Of London,18,city-of-london,England,18.0
City of London Academy Southwark,90,cola-southwark-pride,England,90.0
East London Athletic,190,dartford-fc-8,England,190.0
East London Ballers,10,rns-homes,England,10.0
Elite London Academy,115,elite-london-academy-3,England,115.0
FC Bobyor,81,fc-bobyor-london,England,81.0
FC Petrocub London,57,fc-petrocub-london,England,57.0
FA Wisla Krakow London,20,football-academy-wisla-krakow-london,England,20.0
GOZTEPE_FC_LONDON,76,goztepe,England,76.0
LAFC,58,london-athletic,England,58.0
Londonballerz,21,londonballerz,England,21.0
London Bees,13,london-bees-381c11ad,England,13.0
London Bees,13,london-bees-6,England,13.0
London Bees,291,barnet-fc,England,291.0
London Cheetahs FC,47,london-cheetahs-fc,England,47.0
London City Lionesses,491,london-city-lionesses,England,491.0
London Colney Colts,71,london-colney-colts-blues-b02b355f,England,71.0
London Cornish,18,london-cornish-rfc,England,18.0
London Dinamo FC,334,london-st-thomas-croatia-soccer-club,England,334.0
London Eagles FC,41,london-eagles-fc,England,41.0
London Elite,62,london-elite-2921f5b2,England,62.0
London fits,15,london-fits,England,15.0
London Football League,53,london-football-league,England,53.0
London Irish Amateur Rugby Club,19,london-irish-amateur-rugby-club,England,19.0
London Irish Colts,49,london-irish-arfc,England,49.0
London Jaguars,83,london-jaguars-community-association,England,83.0
London,51,london-jr-knights,England,51.0
London Jr Knights 2010 AAA,41,london-junior-knights-2010-aaa,England,41.0
London Legends FC,99,london-legends-fc,England,99.0
