Club Name,Recordings,Club Identifier,Country,Activity_Score
Angels Scottish SC,36,angels-scottish-soccer-club,Scotland,36.0
athena-glasgow-women-girls-football-academy,15,athena-glasgow-women-girls-football-academy,Scotland,15.0
Barrhaven Scottish,328,barrhaven-scottish-rugby-football-club,Scotland,328.0
Basketballscotland,447,basketballscotland,Scotland,447.0
City of Edinburgh Basketball,111,city-of-edinburgh-basketball-d8912ab1,Scotland,111.0
City of Glasgow College,57,city-of-glasgow-college,Scotland,57.0
Scotland GAA Men,12,gaa-in-scotland,Scotland,12.0
Edinburgh City FC,28,gala-fairydean-rovers-2,Scotland,28.0
Edinburgh Napier University,62,edinburgh-napier-university-football,Scotland,62.0
Edinburgh South,53,newtongrange-star-fc,Scotland,53.0
Edinburgh South CFC,229,edinburgh-south-community-football-club,Scotland,229.0
Edinburgh,66,edinburgh,Scotland,66.0
Edinburgh utd,56,edinburgh-united-fc,Scotland,56.0
Edmonton Scottish,1757,edmonton-scottish-united-sc,Scotland,1757.0
Glasgow Accies RFC,41,glasgow-accies-rfc,Scotland,41.0
Glasgow athletic,25,glasgow-athletic-40547f25,Scotland,25.0
Glasgow City U13s NextGen,77,glasgow-city-u18s,Scotland,77.0
Glasgow City U15s NextGen,73,glasgow-city-football-club-5988ae16,Scotland,73.0
Glasgow City U17s NextGen,67,glasgow-city-u16s,Scotland,67.0
Glasgow free,50,glasgow-free,Scotland,50.0
Glasgow Gaels,55,glasgow-gaels-gfc,Scotland,55.0
Glasgow GWFC,63,glasgow-women-and-girls-fc,Scotland,63.0
Glasgow harp,14,danty-building-projects-ltd,Scotland,14.0
Glasgow Kelvin College Football Studies,33,glasgow-kelvin-college,Scotland,33.0
Glasgow on the Ball,156,glasgow-on-the-ball,Scotland,156.0
Glasgow Raptors,16,glasgow-raptors,Scotland,16.0
Glasgow Rens,82,glasgow-rens-7791047c,Scotland,82.0
Glasgow Utd,75,glasgow-united-football-club,Scotland,75.0
Glasgow Wellington,12,glasgow-wellington-fc,Scotland,12.0
Belfast Celtic,37,belfast-celtic,Northern Ireland,37.0
Belfast Ravens,95,belfast-ravens-football-club,Northern Ireland,95.0
Belfast Royal Academy,13,belfast-royal-academy,Northern Ireland,13.0
Belfast,12,belfast-rugby-club,Northern Ireland,12.0
Derry City,18,derry-city-fc-1809cfd7,Northern Ireland,18.0
Derrygonnelly,40,derrygonnelly-harps-8e0af6c6,Northern Ireland,40.0
Derrygonnelly harps,11,derrygonnelly-harps-0d3df33f,Northern Ireland,11.0
Derrygonnelly,29,derrygonnelly-harps-27891b48,Northern Ireland,29.0
Derrygonnelly,34,derrygonnelly-harps-aaa5af28,Northern Ireland,34.0
Derrygonnelly Harps,25,derrygonnelly-harps-e7e35f6b,Northern Ireland,25.0
Derrygonnelly Harps,12,derrygonnelly-harps-b5df4180,Northern Ireland,12.0
Derrygonnelly Harps Ladies,14,derrygonnelly-harps-f915134d,Northern Ireland,14.0
Derrylauglan Kevin Barry's,179,derrylauglan-kevin-barrys-gac,Northern Ireland,179.0
Derrylin,31,derrylin-oconnells,Northern Ireland,31.0
Derrynoose GAC,40,derrynoose-st-mochuas-gac,Northern Ireland,40.0
Donegal/Derry Vipers,71,donegal-derry-vipers,Northern Ireland,71.0
Edenderry Town FC,54,edenderry-town-fc,Northern Ireland,54.0
Edenderry Town,87,edenderry-town-football-club,Northern Ireland,87.0
Irish Soccer Club,103,alton-irish-soccer-club,Ireland,103.0
Ballianagar GAA Ireland,21,ballianagar-gaa-ireland,Ireland,21.0
Ballinteer St Johns GAA Club Dublin,53,ballinteer-st-johns-gaa-club-dublin,Ireland,53.0
Markham Irish Canadian Rugby Club,67,chris-li-cheong-man,Ireland,67.0
Claregalway GAA,134,claregalway-gaa,Ireland,134.0
Galway United Women's,125,jarlaith,Ireland,125.0
Cork Business League,33,cork-business-league,Ireland,33.0
Dubai Irish FC,669,dubai-irish-football-club,Ireland,669.0
Dublin Bus FC,41,dublin-bus-fc-14c08a4e,Ireland,41.0
Dublin Camogie,36,dublin-camogie,Ireland,36.0
Dublin Coffman Shamrocks,102,dublin-coffman-girls-soccer,Ireland,102.0
Dublin GAA,155,dublin-gaa,Ireland,155.0
Dublin Hospitals FC,25,dublin-hospitals-fc,Ireland,25.0
Dublin Raiders Basketball club,31,dublin-raiders-basketball-club,Ireland,31.0
Dublin United Soccer,43,na-d8e08cb5,Ireland,43.0
Dublin United Soccer League,34,dublin-united-soccer-league-9f5b8ac8,Ireland,34.0
Dublin United Soccer League,41,dublin-united-soccer-league-bac4aad7,Ireland,41.0
Irelanders,63,dundalk-young-irelands,Ireland,63.0
East Galway,27,east-galway-united,Ireland,27.0
Firelands High School Soccer,123,firelands-high-school-soccer-department,Ireland,123.0
Full Tide Ireland Limited,14,full-tide-ireland-limited,Ireland,14.0
Galway Bay Rugby Club,74,galway-bay-rugby-club,Ireland,74.0
Galway Bohemians AFC,96,galway-bohemians-afc,Ireland,96.0
Galway Corinthians U16,49,galway-corinthians-u15,Ireland,49.0
Galway FA,17,galway-fa,Ireland,17.0
Galway Football Association,31,galway-fottball-association,Ireland,31.0
Galway GAA,20,galway-gaa-9585a86b,Ireland,20.0
Galway Hurling,70,galway-gaa,Ireland,70.0
Galway Rovers FC,83,galway-rovers-fc,Ireland,83.0
Galway Utd,139,corofin-utd-fc,Ireland,139.0
Garryduff Sports Centre - Cork Church of Ireland,11,garryduff-sports-centre-cork-church-of-ireland,Ireland,11.0
hurling team in cork,11,hurling-team-in-cork,Ireland,11.0
Inspired community football Northern Ireland,30,inspired-community-football-northern-ireland,Ireland,30.0
Irish FA,120,irish-fa,Ireland,120.0
Irish FA,44,irish-football-association,Ireland,44.0
Irish Rovers,164,irish-rovers-fc,Ireland,164.0
Jr. Irish,90,jr-irish-football-club,Ireland,90.0
Jr. Irish,41,junior-irish-34b0f70a,Ireland,41.0
KCHS Lady Irish,26,knoxville-catholic-high-school,Ireland,26.0
Las Vegas Irish Rugby Club,18,las-vegas-rugby-club,Ireland,18.0
Leeds Cork,130,leeds-afc-cork,Ireland,130.0
MK Irish,164,milton-keynes-irish-2,Ireland,164.0
MILTON KEYNES IRISH,54,newport-pagnell-town-youth-football-club,Ireland,54.0
Munich Irish Rovers FC,17,munich-irish-rovers-fc,Ireland,17.0
