Club Name,Country,Best Phone Number,Email,Notes
Edinburgh City FC,Scotland,01236 781517,hello@edinburghcityfc.com,Actual football club - clear contact
Edinburgh South,Scotland,07534945855,info@escfc.co.uk,Football club with tons of contacts
Glasgow GWFC,Scotland,01463 222880,admin@ictfc.co.uk,Girls/Women's football club
Belfast Celtic,Northern Ireland,07729423414,paradise@belfastceltic.ie,Major Belfast football club
Belfast Ravens,Northern Ireland,07780971440,david@limelightbelfast.com,Active football club
Athena Glasgow Women's Academy,Scotland,07587606665,athenaglasgowfcenquiries@outlook.com,Women's football academy
Galway Utd,Ireland,,info@galwayunitedfc.ie,Professional football club (no phone listed)
Dublin GAA,Ireland,0877054104,coaching@dublingaa.ie,GAA but football related
Irish FA,Ireland,07545 205822,info@irishfa.com,Football Association - could be helpful
Derrygonnelly Harps,Northern Ireland,(087) 6009012,derrygonnellyharps@hotmail.com,GAA football club


hello there, i see you guys have loads of games on veo. We have created an AI coach at Clannai.com. text me a link to your url of your veo footage and we’ll give you a free trial!
