Club Name,Recordings,Club Identifier,Country,Activity_Score
LouCity/Racing Academy,2591,louisville-city-youth-academy,England,2591.0
LAFC So Cal,2515,real-so-cal-2,England,2515.0
LFC IA WA,1846,isc-gunners-2,England,1846.0
LNFC VEO,1551,laurent-nacry-footbal-club-veo,England,1551.0
KHFC Ed Ltd,1140,kidderminster-harriers-youth-football-club,England,1140.0
Adamstown Rosebud Junior Football Club,1060,adamstown-rosebud-junior-football-club,England,1060.0
GFC Training,900,gfc-training,England,900.0
LIVERPOOL F.C,898,liverpool-futbol-club-cb1aac9e,England,898.0
FCN Girls,875,fcn-girls,England,875.0
ListaFC,860,listafc,England,860.0
MCEFC - VEO1,807,moreton-bay-united-football-club,England,807.0
AFC Lightning,798,afc-lightning,England,798.0
London TFC,765,london-toronto-football-club,England,765.0
풋볼아이FC,741,footballeye,England,741.0
Germantown Soccer Club,622,germantown-soccer-club,England,622.0
AFC Sudbury,622,afc-sudbury-academy,England,622.0
FCGB CoE,564,fcgb-center-of-excellence,England,564.0
F.C. Südtirol - FCS Center,544,fc-sudtirol,England,544.0
KFC Herent,503,koninklijke-football-club-herent,England,503.0
Blacktown Districts Soccer Football Association,477,blacktown-districts-soccer-football-association,England,477.0
Aisling Annacotty AFC,473,total-football-academy,England,473.0
FC2011,464,fc2011-2,England,464.0
AFC Stoneham,426,afc-stoneham,England,426.0
GTFC Impact,424,gtfc-impact,England,424.0
KäPa 13united,422,kapylan-pallo-13united,England,422.0
Charlestown Azzurri F.C,416,charlestown-azzurri-fc,England,416.0
ariestokyofc,409,ariestokyofc,England,409.0
PFC Ludoogrets 1945 AD,405,u17-ludogorets,England,405.0
machida jfc,394,machida-jfc-jryouth,England,394.0
AFC Rushden & Diamonds,392,afc-rushden-diamonds,England,392.0
FC川崎CHAMPジュニアユース,390,fcchamp,England,390.0
FCV Grace Dieu,383,fcv-international-football-academy,England,383.0
FCF - Fútbol Sala,381,federacio-catalana-de-futbol,England,381.0
Cadence SFC,376,cadence-soccer-futsal-club,England,376.0
AFC Mustangs-08G,373,afc-mustangs-08g,England,373.0
ALFC ECNL B2011,370,lafc-socal-youth,England,370.0
