Club Name,Website,Email,Phone,Status
AAYSA,https://www.aaysa.com,Not extracted,Not extracted,Website found
AC Connecticut,https://www.acconnecticut.com,info@acconnecticut.com,08568443972,Active
AFC Lightning,https://www.afclightning.com,Not extracted,Not extracted,Website found
Aggies FC,https://www.aggiesfc.com,info@mysite.com,00064714237,Active
Airdrieonians,https://www.airdrieonians.com,Not extracted,Not extracted,Website found
Ajax United,https://www.ajaxunited.com,Not extracted,Not extracted,Website found
Albion Rovers,https://www.albionroversfc.com,Not found,01236606334,Active
Alloa Athletic,https://www.alloaathletic.co.uk,fcadmin@alloaathletic.co.uk,01259219596,Active
Allstars,https://www.allstarsfc.com,Not extracted,Not extracted,Website found
American Canyon,https://www.americancanyon.com,Not found,07133098534,Active
American University,https://americanuniversity.com,Not extracted,Not extracted,Website found
Americans,https://www.americans.com,Not found,09594233984,Active
Andersonstown community fc,https://www.andersonstowncommunityfc.com,Not extracted,Not extracted,Website found
Annan Athletic,https://www.annanathleticfc.com,Not extracted,Not extracted,Website found
Arbroath,https://www.arbroath.com,Not extracted,Not extracted,Website found
Ayr United,https://www.ayrunited.com,Not extracted,Not extracted,Website found
BSC Glasgow,https://www.bscglasgow.co.uk,admin@bscglasgow.co.uk,01413393606,Active
Ballinamallard FC,https://www.ballinamallardfc.com,Not extracted,Not extracted,Website found
Berwick Rangers,https://www.berwickrangers.com,club@berwickrangers.com,08047025648,Active
Bonnyrigg Rose,https://www.bonnyriggrosefc.co.uk,2431fa97889e4751b7ff02313b91d5a7@sentry.io,00089457196,Active
Brechin City,https://www.brechincity.com,brechincityfc@highlandleague.com,01356623344,Active
Caledonian Braves,https://www.caledonianbraves.com,Not found,04614145978,Active
Chicago Fire FC,https://www.chicagofirefc.com,Not extracted,Not extracted,Website found
Civil Service Strollers,https://www.civilservicestrollers.co.uk,Not extracted,Not extracted,Website found
Clyde,https://www.clydefc.co.uk,info@clydefc.co.uk,+441236451511,Active
Colorado Rapids,https://www.coloradorapids.com,Not found,01188749430,Active
Cove Rangers,https://www.coverangersfc.com,Not extracted,Not extracted,Website found
Cowdenbeath,https://www.cowdenbeath.co.uk,Not extracted,Not extracted,Website found
Cumbernauld Colts,https://www.cumbernauldcoltsfc.com,ccfcadmin@cumbernauld-colts.com,Not found,Active
DONAGHADEE FC,https://www.donaghadeefc.com,donaghadeefootballclub@yahoo.com,00067083199,Active
Daisy Hill FC,https://www.daisyhillfc.co.uk,Not extracted,Not extracted,Website found
