Club_Name,Recordings,Country,Location,Phones,Emails,Websites
Dream Cam,4361,England,,,,https://www.dwell.com; https://ca.shein.com; https://maps.google.co.ukgoogle
Ipswich Town FC,3663,England,Ipswich,,,https://en.wikivoyage.org; https://www.britannica.com; https://allaboutipswich.comthings
Dream Cam 5,3347,England,,,,https://lgbtqreads.com; https://www.flickonclick.com15; https://koldingnyheder.dk
Sheffield United Academy,2651,England,Sheffield,,,https://www.sheffieldforum.co.uk; https://www.sheffieldforum.co.uksheffield
Chelsea Academy VEO,2466,England,London,,,https://www.premierleague.com; https://www.standard.co.uk; https://theshed.chelseafc.com
DAFL,2261,England,,,info@ciiis.es; info@ciiis.esciiis.eshttps,https://sailboatdata.com; https://ciiis.esviii; https://www.companieslist.co.ukcrawford
Dream Cam 3,2016,England,,,,https://www.telegraph.co.uk; https://www.ocu.org; https://support.microsoft.com
Manchester City FC,1626,England,Manchester,,,https://www.zhihu.com
ASTON VILLA WOMEN,1538,England,Birmingham,,,https://www.zhihu.com
Blackpool FC,1295,England,Blackpool,,,https://blackpool.comblackpool; https://www.tripadvisor.co.ukblackpool; https://www.visitbritain.com
Burnley FC,1280,England,Burnley,,,https://www.tripadvisor.comburnley; https://www.britannica.com; https://discoverburnley.co.ukhome
Dream Cam 2,1261,England,,07701 039 065,info@thecrumblycheese.co.uk,https://www.fluidairfittings.co.uk; https://outlook.live.com; https://outlook.live.commicrosoft
Burton Albion,1238,England,Burton upon Trent,20247104001,,https://www.zhihu.com
Arsenal Football Club PLC,1229,England,London,,,https://indmeld.arsenal.dkarsenal-logintilmeldelse; https://arsenal.dk; https://arsenal.dkforside
Cheltenham Town Academy,1184,England,Cheltenham,,,https://en.wikivoyage.org; https://www.visitgloucestershire.co.uk; https://www.visitcheltenham.com
Mansfield Town,1152,England,Mansfield,01623 482482; 01623 656 920; 07977428147,community@mansfieldtownfitc.net,https://directory.lincolnshirelive.co.uk; https://www.ifresh.sk; https://www.enterprise.co.ukcar
The Dons,1143,England,AFC Wimbledon (Likely),,,https://www.zhihu.com; https://zhidao.baidu.com
Gateshead,1135,England,Gateshead,,,https://www.hollywoodbowl.co.ukten; https://shop.bet9ja.com; https://www.hollywoodbowl.co.uk
Crystal Palace,1099,England,London,,,https://www.zhihu.com
Lewes FC,1035,England,Lewes,,,https://lewesfc.com; https://pitchfinder.org.uk; https://www.visitlewes.co.ukhome
Eastleigh FC,1031,England,Eastleigh,02380613361; 02380 613 361,admin@eastleighfc.com; admin@eastleighfc.comsoccerbase.comhttps,https://eastleighfc.com; https://pitchfinder.org.uk; https://www.soccerbase.com
Braintree,1022,England,Braintree,,,https://help.ticketmaster.com; https://digitei.com; https://observalinguaportuguesa.org
Dully,964,England,,,,https://ar.wikipedia.org; https://account.google.comlearn; https://nasz.orange.pl
Barnsley Football Club,942,England,,,,https://fab.barnsleyfc.co.ukbarnsley; https://www.barnsleyfc.co.uk; https://www.barnsleyfc.co.ukbarnsley
Chatham Town,918,England,Chatham,01634 401130; 01634 812194,info@chathamtownfc.net,https://www.chathamtownfc.com; https://www.soccerbase.com; https://chatham.cylex-uk.co.uk
Chatham Town,918,England,Chatham,01634 401130; 01634 812194,info@chathamtownfc.net,https://www.chathamtownfc.com; https://www.soccerbase.com; https://chatham.cylex-uk.co.uk
Chatham Town,918,England,Chatham,01634 401130; 01634 812194,info@chathamtownfc.net,https://www.chathamtownfc.com; https://www.soccerbase.com; https://chatham.cylex-uk.co.uk
Lincoln City FC,873,England,Lincoln,,,https://lincolnforums.comlincoln; https://lincolnforums.com
MK Dons FC,832,England,Milton Keynes,,,https://www.model-kartei.de; https://www.zhihu.com; https://www.model-kartei.demodel-kartei.demodel-kartei.de
Blackburn Rovers,787,England,Blackburn,028 9336 6399,,https://agenciatributaria.carm.es; https://www.chamberofcommerce.uk; https://www.directfurniturebelfast.comdirect
Blackburn Rovers,787,England,Blackburn,,,https://drive.google.comaccedi; https://www.thestudentroom.co.uk; https://www.google.co.ukgooglesearch
Kingsley Westside Football Club,785,England,Kingsley,,,https://www.chiphell.comzen6; https://music.youtube.com; https://www.olympics.com
Leisure Leagues,762,England,,,,https://forum.wordreference.com
Downs Rugby,749,England,,,,https://downs-sims.forumeiros.com; https://downs-sims.forumeiros.comseja; https://downs-sims.forumeiros.comregras
Tottenham Hotspur Football & Athletic CO. LTD,739,England,London,,,https://www.tottenhamhotspur.no; https://www.tottenhamhotspur.nowww.tottenhamhotspur.nony
Berwick City,736,England,City,,,https://www.visitberwick.com; https://www.tripadvisor.co.ukthe; https://northumberlandsbest.co.uk
Exeter City Afc Ltd,724,England,,,,https://leafcare.co.uk; https://www.donegalwoman.ie; https://www.amazon.co.uk
Dragons Football Academy,663,England,,,,https://www.wordreference.com; https://www.thefreedictionary.com; https://www.twitch.tv
Draxmatic,663,England,,,,https://www.addictivetips.com; https://github.com; https://web.whatsapp.comwhatsapp
AIRBUS UK BROUGHTON FC,658,England,Broughton,,,https://www.zhihu.com
duKTiG,652,England,,,,https://clugstoninternational.co.uk; https://bokepwave.vipbokepwave; https://www.firstchoiceiv.com
Dream Cam 7,648,England,,,,https://www.messenger.commessengera; https://www.jeuxvideo.com; https://www.zhihu.com
Man City,645,England,Manchester,,,https://manwa.site; https://manwa.life; https://manwa.biz
Alive King's Lynn Community Football,644,England,King's Lynn,,,https://www.sportscapitalprogramme.ieoscar; https://www.excel-hilfe.ch; https://www.malter365.de
Chelsea FC Women,626,England,London,,,https://www.premierleague.com; https://www.standard.co.uk; https://theshed.chelseafc.com
AFC Sudbury,622,England,Sudbury,,,https://www.parallelparliament.co.uk; https://music.youtube.com; https://www.youtubekids.comset
Met Police FC,621,England,London,,,https://www.zhihu.com; https://support.google.com
Millfield School,616,England,Somerset,,,https://www.bbc.com; https://www.msnbc.com; https://m.youtube.com
MORECAMBE FOOTBALL CLUB,613,England,Morecambe,,,https://aiuto.libero.it; https://registrazione.libero.itregistrazione; https://www.mymap.ai
Ilkley Town AFC,588,England,Ilkley,,,https://www.gala.fr; https://workspace.google.com; https://www.parismatch.com
