Club Name,Recordings,Club Identifier,Country,Additional Info
Chesterfield HC (official),99,chesterfield-hc-official,England,Chesterfield
White City Football Club,99,milan-susak,England,White City
King Edward’s School,99,king-edwards-school-066c2d11,England,
The Darts U9,99,dartford-u9-black,England,Dartford
Aberdeen Futsal Academy,99,aberdeen-futsal-academy,Scotland,Aberdeen
Drumchapel United,99,drumchapel-united-fc-28ac7ad8,Scotland,Drumchapel
Mancunian Unity,99,mancunian-unity-womens-fc,England,Manchester
Barnes RFC,99,barnes-rugby-football-club,England,
Gedling Tigers,99,gedling-tigers,England,Gedling
Bristol Hockey,99,bristol-hockey,England,Bristol
Leamington RFC,99,leamington-rugby-club,England,Rugby Football Club
Holt Athletic FC,99,holt-fc,England,Holt
AFC Varsity,99,afc-varsity,England,
Essex,98,essex,England,
Corfe Mullen,98,innvo8-sports,England,
Colchester,98,colchester-rugby-football-club,England,Colchester
Bath City Academy,98,james-moon,England,
Douglas Villa AFC,98,douglas-villa-afc,England,Douglas
Charnock Richard Football Club u21s,98,coppull-united,England,Charnock Richard
Berwick Rangers,98,kevin-16,Scotland,
Halse United FC,98,halse-united-football-club,England,Halse
Cheshire FA,98,cheshire-football-association,England,Cheshire
Leek Town FC Ladies,98,leek-town-fc-ladies,England,Ladies
Bristol United,98,bristol-united-football-club,England,Bristol
Ellon RC,97,ellon-rugby-club-67bf54e1,Scotland,Ellon
AFC Minster,97,afc-minster,England,Minster
Leicester Grammar School,97,leicester-grammar-school-749d76e6,England,Leicester
Clydebank RFC,97,robin-14,Scotland,Clydebank
Bognor Regis Town FC,97,bognor-regis-town-football-club-develpment-centre,England,Bognor Regis
Bedford Ath,97,bedford-athletic-rugby-union-football-club,England,Athletic
Brighton and Hove Hockey Club,97,bahhc,England,Hockey Club
DSSC Competitive,96,dssc-competitive,England,
Crusaders Soccer Club,96,crusaders-soccer-club-c4ec4a70,Northern Ireland,Belfast
CB hounslow,96,cb-hounslow-football-club,England,
Caterham FC,96,caterham-football-club,England,
Colne Football Club,96,colne-football-club,England,Colne
Aylesbury Vale Dynamos FC,96,aylesbury-vale-dynamos-football-club,England,Aylesbury
Blair,96,hollands-and-blair,Scotland,
FC Wilts,96,fc-wiltshire,England,
Bovey Tracey,96,bovey-tracey-afc,England,Bovey Tracey
Bredon AFC,96,bredon-afc,England,Bredon
Burscough Dynamo,96,burscough-dynamo-2,England,Burscough
Basing Royals,96,basing-royals-fc,England,
Douglas Amateurs,96,douglas-amateurs-football-club,England,Douglas
Crowborough RFC,96,crowborough-rugby-club,England,Crowborough
Ashton Bears ARLFC,96,ashton-bears-arlfc,England,Rugby league club
Crowborough RFC,96,crowborough-rugby-club,England,Crowborough
Dunstable,96,bedfordshire-fa-dunstable,England,Dunstable
Letham FC,95,newburgh-juniors-fc,Scotland,Letham
Sarries,95,exeter-saracens-rfc,England,Saracens
Cleckheaton Rugby Club,95,cleckheaton-rugby-club,England,Cleckheaton
City of York HC,95,city-of-york-hockey-club-2,England,York
Donnelly,95,donnelly-9f21e635,England,
Dream Cam 12,95,blue-orange-dec-2024,England,
Belfast Ravens,95,belfast-ravens-football-club,Northern Ireland,Ravens
Caledonian Locomotives Football Club,95,clfc,Scotland,(needs more info)
Bede's,95,bedes-school-3,England,
Kelty Hearts Community Football Club,95,kelty-hearts-community-football-club,Scotland,
Abbey FC,95,abbey-fc,England,
Belper Town,95,belper-town-football-club-ae0c569d,England,
Dundee & Angus College,95,dundee-angus-college,Scotland,Dundee
Leafield Athletic FC,95,leafield,England,
Atherstone Rangers,95,atherstone-rangers-junior-football-club-11c61de8,England,Atherstone
Dollard Soccer Club,95,mario-dotolo-3,England,
DCFCW,95,derby-county-women,England,Derby
Diss Town Football Club,95,diss-town-football-club-dada2cf6,England,Diss
Dover Rugby Football Club,95,dover-rugby-football-club-2,England,Dover
Kingswood Utd,95,kingswood-united-fc,England,
Norfolk Football Ltd,95,norfolk-football-ltd,England,Norfolk
HEYBRIDGE SWIFTS EJA,94,eight-ash-green,England,Heybridge
Bridon Ropes FC,94,bridon-ropes-fc-reserves,England,
Birchwood Juniors,94,birchwood-juniors-34547c45,England,
Drumchapel United Saturday morning,94,drumchapel-united-saturday-morning,Scotland,Drumchapel
Tranmere Rovers FC Womens Team,94,marc-joyce,England,Birkenhead
Howfen Hurricanes,94,howfen-hurricanes,England,Howfen
FC ST HELENS,94,fc-st-helens-1ef7ff5d,England,
Claverdon FC,94,claverdon-football-club,England,Claverdon
Anglia Ruskin University,93,anglia-ruskin-university-51a3df2c,England,Cambridge
Basingstoke Hockey Club,93,basingstoke-hockey-club,England,
Chesterfield Women,93,chesterfield-women-11,England,Chesterfield
Atherton Town Football Club,93,atherton-town-football-club,England,Atherton
Meole Brace,93,meole-brace-school,England,Shrewsbury
AFC Ewell Warrior’s U16’s,93,afc-ewell-warriors-u14s,England,Ewell
Burntwood Dragons,93,burntwood-dragons-and-phoenix-football-club,England,Burntwood
Elstead,93,elstead-football-club,England,Elstead
Beaumont Park Jaguars,93,anstey,England,
Biddulph High School,93,biddulph-high-school,England,High School
Aston Youth FC 2013,93,aston-youth-fc-2013,England,
Merseyrail Ladies,93,merseyrail-ladies-fc,England,
Darvel FC,93,fives-yardley,Scotland,Darvel
Darvel FC,93,fives-yardley,Scotland,Darvel
Knockbreda FC 2012,93,dungoyne-2012-colts-c94cec4f,Northern Ireland,Belfast
Bridgwater United FC,93,yeovil-united-football-club,England,Bridgwater
Haywards Heath Town,93,haywards-heath-town,England,Haywards Heath
Chelmsford Rugby Football Club U15s VEO,93,chelmsford-rugby-football-club,England,Chelmsford
DOYRMS,93,duke-of-yorks-royal-military-school-c31ef274,England,
Dunblane,93,dunblane-soccer-club,Scotland,Dunblane
Ellingham and Ringwood,93,ellingham-and-ringwood-rugby-football-club,England,Ellingham
