Club Name,Recordings,Club Identifier,Country,Additional Info
Mudgee Junior Rugby League,32,mudgee-junior-rugby-league,Australia,Mudgee
Mudgeeraba Soccer Club,37,mudgeeraba-soccer-club,Australia,Mudgeeraba
Mudgee Touch,20,mudgee-touch,Australia,Mudgee
MUFC,104,mufc-2,Unknown,Unknown
Muharraq Club,195,muharraq-club,Bahrain,Muharraq
Muhlenberg College Men's Soccer,74,muhlenberg-college-mens-soccer,United States,Muhlenberg College
Lady Mules,93,muhlenberg-college-womens-soccer,Unknown,Unknown
Muirkirk Junior FC,14,muirkirk-junior-fc,Scotland,Muirkirk
Muirkirk JFC,61,muirkirk-juniors-football-club,Scotland,Muirkirk
Muk FC,89,mukilteo-youth-soccer-club-d558c5a8,Unknown,Unknown
MUKS CWZS Bydgoszcz,14,muks-cwzs-bydgoszcz,Poland,Bydgoszcz
Unia Warszawa,137,muks-unia-warszawa,Poland,Warsaw
Mukta Sports,235,manoj-deshmane,Unknown,Unknown
Mukwonago Area Soccer Club,68,mukwonago-area-soccer-club,United States,Mukwonago
Mukwonago High School,110,mukwonago-high-school,United States,Mukwonago
Mulbarton Wanderers,22,mastercote-uk-ltd,England,Mulbarton
Mulbarton Wanderers,22,mastercote-uk-ltd,England,Mulbarton
Mulbarton Wanderers FC,279,stoke-uea-football-club,England,Mulbarton
Mulier Fútbol Club Navarra,63,mulier,Spain,Navarra
Mullaghbawn,80,mullaghbawn-cuchulainns,Ireland,Mullaghbawn
Mullahoran GFC,15,mullahoran-gfc,Ireland,Mullahoran
Mullen High School,234,mullen-high-school-boys-soccer,United States,Mullen
Mullingar Athletic AFC,29,mullingar-athletic-afc,Ireland,Mullingar
Wilson's Hospital School,17,mullingar-hockey-club,Ireland,Mullingar
MRFC,190,mullingar-rugby-club,Unknown,Unknown
Shamrock,12,mullingar-shamrocks-6e02ba2f,Unknown,Unknown
Mullingar Shamrocks,17,mullingar-shamrocks-a49a228d,Ireland,Mullingar
Mullsjö IF,58,mullsjo-if,Sweden,Mullsjö
MBVFC,141,mullumbimby-brunswick-valley-football-club,Unknown,Unknown
MULTIDEPORMANIA,22,multidepormania,Unknown,Unknown
Multiple,33,multiple-a14c6d21,Unknown,Unknown
Multiple,33,multiple-a14c6d21,Unknown,Unknown
Multiple Clubs,111,concorde-central-2009,Unknown,Unknown
family,362,multiple-kids,Unknown,Unknown
AEIO,212,triple-threat,Unknown,Unknown
Multnomah university Soccer Program,107,multnomah,United States,Multnomah University
Mulv FC,24,mulv-fc,Unknown,Unknown
Mumbles Rangers,65,mumbles-rangers,Wales,Mumbles
Mumbles RFC,25,mumbles-rfc-95ddb099,Wales,Mumbles
MUNACA FC,54,munaca-football-club,Unknown,Unknown
Mundford u14 JPL,28,mundford-u14-jpl,England,Mundford
MUNDIAL FC,213,mundial-football-club-academy,Unknown,Unknown
MPS Academy,204,munevar-performance-soccer-academy,Unknown,Unknown
Mungret,104,mungret-regional-fc,Ireland,Mungret
Mungret St Paul's GAA,27,mungret-st-pauls-gaa,Ireland,Mungret
Munich Irish Rovers FC,17,munich-irish-rovers-fc,Germany,Munich
Municipaux de troyes,49,diego-garcia,France,Troyes
Municipaux le havre,238,municipaux-le-havre,France,Le Havre
Munro College,25,munro-college,Jamaica,Munro College
Münster Blackhawks,130,munster-black-hawks-ev,Germany,Münster
Müntaz Karagöz,56,muntaz-karagoz,Unknown,Unknown
Müntaz Karagöz,56,muntaz-karagoz,Unknown,Unknown
Munxar Falcons,19,munxar-falcons,Malta,Munxar
MURA,26,mura,Unknown,Unknown
Murat Akyol,197,trussville-united-soccer-association,Unknown,Unknown
Murat Coskun Clubhouse,51,rochedale-rovers-fc-2,Unknown,Unknown
Murat Ime,57,murat-ime,Unknown,Unknown
Murcia B,198,murcia-b,Spain,Murcia
Murdoch University Melville Football Club,42,murdoch-university-melville-football-club-38ea457e,Australia,Murdoch University
MUM FC,260,murdoch-university-melville-football-club-df144a8a,Unknown,Unknown
Murieston United FC,108,murieston-united-football-club,Scotland,Murieston
Muro Club House,86,queen-cobras,Unknown,Unknown
Montana,18,washington-premier-fc-ecnzl-04,Unknown,Unknown
Murphysboro Soccer Inc,27,murphysboro-soccer-inc,United States,Murphysboro
Murphyz Lawz - Edmonton,22,murphyz-lawz-edmonton,Canada,Edmonton
Murrayfield Wanderers,28,murrayfield-wanderers-fc,Scotland,Murrayfield
Murray High School,28,murray-high-school-1a7879e0,United States,Murray
Murray High School Boys Soccer,124,murray-high-school-boys-soccer,United States,Murray
Murray soccer club,62,murray-soccer-club-18e97306,United States,Murray
Murray Soccer Club,111,murray-soccer-club-3,United States,Murray
MSC,207,murray-soccer-club-71193615,Unknown,Unknown
Murray S.C.,129,murray-soccer-club-2012-boys,United States,Murray
MSC,207,murray-soccer-club-71193615,Unknown,Unknown
Murray State College,108,murray-state-college,United States,Murray
Murray United,517,murray-united-football-club,United States,Murray
Murrieta Mesa Girls Lacrosse,187,murrieta-mesa-girls-lacrosse,United States,Murrieta
MURRIETA SOCCER ACADEMY,43,murrieta-soccer-academy-09637506,United States,Murrieta
Murr Sports,111,murr-sports,Unknown,Unknown
Murwillumbah FC,126,murwillumbah-football-club-3,Australia,Murwillumbah
Musan Salama,512,musan-salama,Unknown,Unknown
Musan Salama P2012,390,musan-salama-81e94b5e,Unknown,Unknown
Musan tytöt,24,palot20,Unknown,Unknown
Musashiogose High School,340,musashiogosefc,Japan,Musashiogose
Monmouth United Soccer Club,100,monmouth-united-soccer-club-8e9eaf44,United States,Monmouth
Muscatine High School,214,muscatine-high-school,United States,Muscatine
Muscatine Soccer Club,136,muscatine-soccer-club,United States,Muscatine
MUSE SPORTS,74,piedmont-triad-football-club-2,Unknown,Unknown
Musgrave Mustangs VEO2,133,musgrave-mustangs,Northern Ireland,Musgrave
Musgrave Mustangs VEO3,197,musgrave-sports-club-inc,Northern Ireland,Musgrave
Muskego High School,79,muskego-norway-school-district,United States,Muskego
Muskegon Community College,93,muskegon-community-college,United States,Muskegon
Jayhawks Women's Soccer,102,muskegon-community-college-womens-soccer,United States,Unknown
Muskerry RFC,59,muskerry-rfc,Ireland,Muskerry
Mussa Pilates Center & school,36,bembrivefs,Unknown,Unknown
The Burgh,136,musselburgh-athletic,Unknown,Unknown
Musselburgh Windsor Football Club,138,musselburgh-windsor-community-football-club,Scotland,Musselburgh
Musselburgh Youth Rugby,13,musselburgh-youth-rugby,Scotland,Musselburgh
Musselman Soccer,115,musselman-high-school-boys-soccer,Unknown,Unknown
Mustang,55,mustang-2013b-pre-ecnl,Unknown,Unknown
Mustang,55,mustang-2013b-pre-ecnl,Unknown,Unknown
Panamerican,81,panamerican,Unknown,Unknown
Mustang,55,mustang-2013b-pre-ecnl,Unknown,Unknown
Mustang,55,mustang-2013b-pre-ecnl,Unknown,Unknown
Mustang 14B EII,16,meii,Unknown,Unknown
Mustang,55,mustang-2013b-pre-ecnl,Unknown,Unknown
Mustang Bulldogs,90,mustang-barcelona,Unknown,Unknown
Mustang ECNL Boys 08,161,de-la-salle-a6f228d7,Unknown,Unknown
Mustang High School,90,mustang-high-school,Unknown,Unknown
Mustang,55,mustang-2013b-pre-ecnl,Unknown,Unknown
Mustang,55,mustang-2013b-pre-ecnl,Unknown,Unknown
Family,67,mustang-soccer-club-77d588dc,Unknown,Unknown
Mustang Soccer Club,908,mustang-soccer-club-5,Unknown,Unknown
Mustang,55,mustang-2013b-pre-ecnl,Unknown,Unknown
Mustangs Rugby,17,mustangs-rugby,Unknown,Unknown
Mustang United,239,mustang-united-fc,Unknown,Unknown
Mustang,55,mustang-2013b-pre-ecnl,Unknown,Unknown
Mutiny,11,mutiny-2cc13a95,Unknown,Unknown
Mutriku FT,20,mutriku-ft,Spain,Mutriku
Mutriku Futbol Taldea,28,mutriku-futbol-taldea,Spain,Mutriku
Muuramen Yritys,155,muuramen-yritys,Finland,Muurame
Muxia C.F.,16,muxia-cf,Spain,Muxia
Muz Cam,359,colorado-rapids-youth-soccer-club-10,Unknown,Unknown
Mounds View High School Boys Soccer,52,mv-boys-soccer,United States,Mounds View
MVC'19,48,mvc-19,Unknown,Unknown
MVFF Oldbury,119,mvff-oldbury,England,Oldbury
MvF,13,mvf-gosport,Unknown,Unknown
Norton,36,mvf-norton-football-club,Unknown,Unknown
MVLA,15,mountain-view-los-altos-soccer-club-319bbc62,Unknown,Unknown
MVLA,15,mountain-view-los-altos-soccer-club-319bbc62,Unknown,Unknown
MVLA NV 2013,50,individual,Unknown,Unknown
MVMSPORTS,66,mvmsports,Unknown,Unknown
MVP,31,mike-voudouri,Unknown,Unknown
MVP - Acumen Collective,12,mockingbird-valley-premier-79f46e11,Unknown,Unknown
Florida west,69,florida-west-c1c58523,United States,Florida
MVP Futbol Club 2014G,88,mvp-futbol-club,Unknown,Unknown
MVPx Academy,80,mvpx-academy,Unknown,Unknown
MVS Group,437,mvs-group,Unknown,Unknown
MVV'27,13,mvv-27,Unknown,Unknown
MVV Maastricht - Team,19,mvv-maastricht-team,Netherlands,Maastricht
MV Warriors Football,14,mv-warriors-football,Unknown,Unknown
Coach 1,29,mwhite-coach,Unknown,Unknown
MYA,44,mya-events,Unknown,Unknown
