Club_Name,Recordings,Teams
´,1,1
´,0,0
1 recording,1,0
1 team,0,1
>,0,0
1 recording,1,0
1 team,0,1
>,0,0
µ,0,0
District Dynamo,0,0
_,0,0
1 recording,1,0
_,0,0
1 recording,1,0
RIASA Helsinki,0,0
_,0,0
_,0,0
1 recording,1,0
1 team,0,1
_,0,0
1 recording,1,0
__,0,0
1 team,0,1
__,0,0
CFSC,0,0
-,0,0
-,0,0
1 recording,1,0
-,0,0
1 recording,1,0
-,0,0
1 recording,1,0
-,0,0
-,0,0
-,0,0
C.D. Berriz,0,0
1 team,0,1
-,0,0
1 recording,1,0
1 team,0,1
-,0,0
1 recording,1,0
-,0,0
-,0,0
-,0,0
River Plate,0,0
1 team,0,1
-,0,0
-,0,0
1 recording,1,0
-,0,0
1 recording,1,0
-,0,0
-,0,0
1 recording,1,0
-,0,0
1 team,0,1
-,0,0
1 team,0,1
-,0,0
-,0,0
-,0,0
Aalborg FDK,0,0
Lymm Rovers,0,0
--,0,0
-,0,0
-,0,0
-,0,0
-,0,0
1 recording,1,0
-,0,0
1 recording,1,0
-,0,0
1 team,0,1
-,0,0
UFV Men's Soccer,0,0
-,0,0
-,0,0
1 recording,1,0
-,0,0
-,0,0
1 recording,1,0
-,0,0
-,0,0
STFV,0,0
-,0,0
1 recording,1,0
-,0,0
-,0,0
1 recording,1,0
-,0,0
1 recording,1,0
1 team,0,1
-,0,0
-,0,0
1 recording,1,0
1 team,0,1
-,0,0
1 recording,1,0
-,0,0
´,1,1
