Club_Name,Recordings,Teams,Raw_Text
District Dynamo,1,1,"´
1 recording, 1 team
>
1 recording, 1 team
>
2 recordings, 0 teams
µ
0 recordings, 0 teams
District"
District Dynamo,0,3,"District Dynamo
0 recordings, 3 teams"
RIASA Helsinki,0,0,"RIASA Helsinki
0 recordings, 0 teams"
CFSC,0,0,"CFSC
0 recordings, 0 teams"
C.D. Berriz,0,1,"C.D. Berriz
0 recordings, 1 team"
River Plate,255,1,"River Plate
255 recordings, 1 team"
Aalborg FDK,6,0,"Aalborg FDK
6 recordings, 0 teams"
Lymm Rovers,2,0,"Lymm Rovers
2 recordings, 0 teams"
UFV Men's Soccer,0,0,"UFV Men's Soccer
0 recordings, 0 teams"
STFV,0,0,"STFV
0 recordings, 0 teams"
The FA,0,0,"The FA
0 recordings, 0 teams"
Terrace Football,1,0,"Terrace Football
1 recording, 0 teams"
South East Officiating,1,0,"South East Officiating
1 recording, 0 teams"
Referee,2,3,"Referee
2 recordings, 3 teams"
Red Star,1,0,"Red Star
1 recording, 0 teams"
Refferee,1,0,"Refferee
1 recording, 0 teams"
Brackley Town,1,0,"Brackley Town
1 recording, 0 teams"
City,0,1,"City
0 recordings, 1 team"
Clubs,1,1,"Clubs
´
1 recording, 1 team
>
1 recording, 1 team
>
2 recordings, 0 teams
µ
0 recordings, 0 teams
Di"
Clubs,0,0,Clubs
District Dynamo,0,0,District Dynamo
C.D. Berriz,0,0,C.D. Berriz
River Plate,0,0,River Plate
Aalborg FDK,0,0,Aalborg FDK
Lymm Rovers,0,0,Lymm Rovers
Terrace Football,0,0,Terrace Football
South East Officiating,0,0,South East Officiating
Referee,0,0,Referee
Red Star,0,0,Red Star
Refferee,0,0,Refferee
Brackley Town,0,0,Brackley Town
City,0,0,City
