Club Name,Recordings,Club Identifier,Country,Additional Info
Dunbar Rovers FC,666,dunbar-rovers-fc-939f648b,Scotland,Dunbar
Dundee FC Academy,552,dundee-fc-academy-2,Scotland,Dundee
Johnstone Burgh FC,507,johnstone-burgh,Scotland,Johnstone
DUNBAR,494,dunbar-united-fc,Scotland,Dunbar
GUFC,456,gippsland-football-club-incorporated,Scotland,
Boroughmuir Thistle FC,448,boroughmuir-thistle-football-club,Scotland,Edinburgh
Basketballscotland,447,basketballscotland,Scotland,
Leven VEO,425,ohio-premier-2,Scotland,Leven
Ayr United Football Academy,419,ayr-united-football-academy,Scotland,Football academy
Gartcairn,409,robert-mccallum,Scotland,Gartcairn
Hamilton Accies,330,hamilton-academical-wfc-3,Scotland,Hamilton
East Fife CFC,329,east-fife-community-football-club,Scotland,East Fife
Jeanfield Swifts FC,258,jeanfield-swifts-football-club,Scotland,Perth
Hearts,242,heart-of-midlothian-football-club-295c5188,Scotland,Edinburgh
Dalkeith Thistle CFC,232,dalkeith-thistle,Scotland,Dalkeith
Edinburgh South CFC,229,edinburgh-south-community-football-club,Scotland,Edinburgh
Blantyre Celtic CFC,226,blantyre-celtic-yfc,Scotland,Blantyre
Albion Rovers FC,226,albion-rovers-football-club-2,Scotland,
Cumbernauld Colts,225,cumbernauld-colts-football-club,Scotland,Cumbernauld
Dundee Madsons,210,dundee-madsons-basketball-club,Scotland,Dundee
Celtic,209,castlebar-celtic-fc,Scotland,
Carnoustie Panmure Football Club,206,performance-soccer-academy,Scotland,
Dunottar School,206,dunottar-school,Scotland,Stonehaven
Leith Athletic,204,leith-athletic-2,Scotland,Leith
FETTES COLLEGE,199,fettes-college,Scotland,Edinburgh
Caley Thistle,185,inverness-caledonian-thistle,Scotland,Inverness
Ayr Storm Basketball Club,182,ayr-storm-basketball-club-1a1d7194,Scotland,Basketball club
easterhouse fa,181,easterhouse-football-academy,Scotland,Easterhouse
Brechin Victoria JFC,179,brechin-victoria-jfc,Scotland,Brechin
Cambusdoon FC,177,cambusdoon-fc,Scotland,Ayr
Culter FC,174,culter-football-club,Scotland,Culter
Inverurie Locos,174,inverurie-loco-works-fc,Scotland,Inverurie
East Kilbride Youth Club 2007,167,east-kilbride-football-club-2007-gold,Scotland,East Kilbride
Broadford Rovers Football Club,165,broadford-rovers-fc-750d3f73,Scotland,Broadford
Auchtermuchty Bellvue Colts,163,auchtermuchty-bellvue-colts,Scotland,Auchtermuchty
Dollar Academy,161,dollar-academy,Scotland,Dollar
Dundee Violet JFC,161,dundee-violet-jfc,Scotland,Dundee
Cumnock Juniors,158,cumnock-juniors-football-club,Scotland,Cumnock
The Burgh,158,ferguslie-star-afc,Scotland,Johnstone
Glasgow on the Ball,156,glasgow-on-the-ball,Scotland,
Maryhill FC,156,maryhill-football-club,Scotland,Glasgow
St. Kevin's,156,castlerea-st-kevins,Scotland,
Drumchapel united,154,drumchapel-united-9fc5ce86,Scotland,Drumchapel
BISHOPTON RUGBY,154,bishopton-rugby-football-club,Scotland,Bishopton
High Green villa,153,dsc-elite-football-acedmy,Scotland,High Green
Hall Russell United Football Club,149,hall-russell-united-football-club,Scotland,Aberdeen
Barrhead YFC,149,only-sport-ltd,Scotland,
Letham JFC,149,letham-junior-football-club,Scotland,Letham
Bo'ness United,148,boness-united-football-club,Scotland,Bo'ness
Hillhead,146,hillhead-hockey-club,Scotland,Hillhead
Hawick Royal Albert,142,kenny-aitchison,Scotland,
Fyvie FC,140,fyvie-fc-3,Scotland,Fyvie
Fairmuir Boys Club,139,fairmuir-boys-club-921f58d1,Scotland,
Musselburgh Windsor Football Club,138,musselburgh-windsor-community-football-club,Scotland,Musselburgh
Medda 06,137,tass-thistle-blue-2006,Scotland,Irvine
East Kilbride YM FC,135,east-kilbride-ym-fc,Scotland,East Kilbride
Boroughmuir Rugby,135,boroughmuir-rugby-and-community-sports-club,Scotland,Edinburgh
Largs Thistle F.C.,135,largs-thistle-football-club,Scotland,
Hamilton Bridge FC,132,christopher,Scotland,Hamilton
Bishopton academy,132,bishopton-girls-academy,Scotland,Bishopton
Garioch RFC,131,garioch-rfc,Scotland,Inverurie
Kinloss Eagles,130,kinloss-eagles-rfc,Scotland,Kinloss
Gleniffer Thistle,130,gleniffer-thistle-a026d32e,Scotland,
Gleniffer Thistle,130,gleniffer-thistle-a026d32e,Scotland,
Gleniffer Thistle,130,gleniffer-thistle-a026d32e,Scotland,
East Stirlingshire Galaxy Football Club,129,es-galaxy-football-club,Scotland,
Dundee West,128,dundee-west-football-club-3,Scotland,Dundee
Milngavie 2011,124,milngavie-football-club,Scotland,Milngavie
Banks o’ Dee,124,banks-o-dee-football-club,Scotland,Aberdeen
Darvel FC 2007's,123,troon-thistle-2007s,Scotland,Darvel
Kilsyth Athletic,121,kilsyth-athletic-fc,Scotland,Kilsyth
Dundee United,120,dundee-united-womens-football-club,Scotland,Dundee
Moffat Rams,119,moffat-rugby-club,Scotland,Moffat
Biggar RFC,118,biggar-rugby-football-club,Scotland,RFC
Bonnyrigg Rose Community Football Club,117,bonnyrigg-rose-community-football-club,Scotland,Bonnyrigg
East Kilbride Rugby Club,116,east-kilbride-rugby-club,Scotland,East Kilbride
GURFC,116,georgetown-rugby-football-club,Scotland,
Dundee North End FC,114,dundee-north-end-fc,Scotland,Dundee
Johnstone Burgh,113,johnstone-burgh-2009,Scotland,Johnstone
Lathallan School,111,lathallan-school,Scotland,
City of Edinburgh Basketball,111,city-of-edinburgh-basketball-d8912ab1,Scotland,Edinburgh
Dundee East Hub,111,broughty-athletic,Scotland,Dundee
Dunfermline Reign,111,dunfermline-reign-basketball-club,Scotland,Dunfermline
Glenalmond,109,glenalmond-college,Scotland,
Murieston United FC,108,murieston-united-football-club,Scotland,Murieston
Knightswood Football Club 2009s,108,knightswood-football-club-2009s,Scotland,Glasgow
Clach,108,clachnacuddin-football-club,Scotland,League unknown
Holytown,107,holytown-colts-d0e7180f,Scotland,Holytown
Lesmahagow afc,105,lesmahagow-afc,Scotland,
@MotherwellWomen,105,motherwell-women-fc,Scotland,Motherwell
Bishopton Football Club,104,bishopton-football-club-9972f591,Scotland,Bishopton
Hutchie Vale 2010’s,101,hutchison-vale-community-football-club-2010s,Scotland,Glasgow (likely)
Minch RFC,100,minchinhampton-rugby-football-club,Scotland,Minch
Aberdeen Futsal Academy,99,aberdeen-futsal-academy,Scotland,Aberdeen
Drumchapel United,99,drumchapel-united-fc-28ac7ad8,Scotland,Drumchapel
Berwick Rangers,98,kevin-16,Scotland,
Ellon RC,97,ellon-rugby-club-67bf54e1,Scotland,Ellon
Clydebank RFC,97,robin-14,Scotland,Clydebank
Blair,96,hollands-and-blair,Scotland,
Letham FC,95,newburgh-juniors-fc,Scotland,Letham
Caledonian Locomotives Football Club,95,clfc,Scotland,(needs more info)
Kelty Hearts Community Football Club,95,kelty-hearts-community-football-club,Scotland,
Dundee & Angus College,95,dundee-angus-college,Scotland,Dundee
Drumchapel United Saturday morning,94,drumchapel-united-saturday-morning,Scotland,Drumchapel
Darvel FC,93,fives-yardley,Scotland,Darvel
Darvel FC,93,fives-yardley,Scotland,Darvel
Dunblane,93,dunblane-soccer-club,Scotland,Dunblane
High School of Dundee,90,high-school-of-dundee,Scotland,Dundee
Dalkeith,90,dalkeith-rugby-football-club,Scotland,Dalkeith
Moray Girls,90,moray-girls-fc,Scotland,Moray
Lenzie,88,lenzie-football-club,Scotland,Lenzie
Celtic FC,88,celtic-fc-90d9e196,Scotland,Glasgow
