Club_Name,Recordings,Website,Phone,Status
3FCAcademy,87,https://www.3fcacademy.co.uk,07896725657,Success
360TFT,77,https://www.360tft.com,07926679298,Success
4CORNERSPORT,32,https://www.4cornersport.co.uk,07802839457,Success
Accrington Wildcats,23,https://www.accringtonwildcats.co.uk,07581845510,Success
LEON,188,https://www.leonfc.co.uk,07508243500,Success
Ackworth Girls FC,18,https://www.ackworthgirlsfc.com,07498740063,Success
Fillies,69,https://www.fillies.co.uk,07590422538,Success
AFC Bolton,91,https://www.afcbolton.co.uk,07856754649,Success
Afc Lewisham,30,https://www.afclewisham.com,07961852271,Success
AFC Lewisham,14,https://www.afclewisham.com,07961852271,Success
FC St. Pauls,263,https://www.stpaulsfc.co.uk,07700842455,Success
Airdrie FC,59,https://www.airdriefc.com,07710230775,Success
Alexander,65,https://www.alexander.co.uk,01618324841,Success
Alexander,544,https://www.alexander.co.uk,01618324841,Success
Allerton FC,43,https://www.allertonfc.co.uk,07599451890,Success
Alliance SC,49,https://www.alliancesc.co.uk,01162795185,Success
Alpha,55,https://www.alphafc.co.uk,07956122207,Success
Alpha,97,https://www.alphafc.co.uk,07956122207,Success
Alpha,26,https://www.alphafc.co.uk,07956122207,Success
Alta IF,26,https://www.altaif.co.uk,01865736300,Success
Alta IF,56,https://www.altaif.co.uk,01865736300,Success
Altrincham hale fc,60,https://www.altrinchamhalefc.com,07986382147,Success
Annan Rugby,44,https://www.annanrugby.com,07981012659,Success
BIELLESE,119,https://www.biellese.com,01965270026,Success
Calcio Brusaporto,103,https://www.calciobrusaporto.com,01704180163,Success
BIELLESE,17,https://www.biellese.com,01965270026,Success
Ashmount Leigh FC,67,https://www.ashmountleighfc.co.uk,07449177022,Success
A.S. Cittadella,196,https://www.ascittadella.com,01317970240,Success
Aspire FC,60,https://www.aspirefc.com,07984606124,Success
Aspire Academy,290,https://www.aspirefc.com,07984606124,Success
Aspire,16,https://www.aspirefc.com,07984606124,Success
Aspire FC,278,https://www.aspirefc.com,07984606124,Success
Aspire,204,https://www.aspirefc.com,07984606124,Success
ASV Jenesien,60,https://www.asvjenesien.com,01552730218,Success
Select Soccer,104,https://www.selectsoccer.co.uk,07966055740,Success
Akuma Sports,118,https://www.akumasports.com,01676533320,Success
BYSC,141,https://www.bysc.co.uk,07837379371,Success
Bedford Hockey Club,69,https://www.bedfordhockeyclub.com,07939524883,Success
Beyond physiotherapy,12,https://www.beyondphysiotherapy.com,07504222173,Success
Bows Soccer Academy,424,https://www.bowssoccer.co.uk,07946042817,Success
Brandon Park FC,55,https://www.brandonpark.co.uk,01842812400,Success
Brocks RFC,27,https://www.brocksrfc.com,07931196617,Success
Brocton,138,https://www.broctonfc.com,07809462671,Success
Manor Farm,100,https://www.manorfarm.com,07711010770,Success
Brocton,52,https://www.broctonfc.com,07809462671,Success
Brocton,11,https://www.broctonfc.com,07809462671,Success
Buckingham United,227,https://www.buckinghamfc.co.uk,07734395513,Success
Burnley College,11,https://www.burnleyfootballclub.com,07537404821,Success
Burnley FC,1280,https://www.burnleyfootballclub.com,07537404821,Success
Burnley FC in the Community,221,https://www.burnleyfootballclub.com,07537404821,Success
Burnley RUFC,20,https://www.burnleyfootballclub.com,07537404821,Success
Burnley Tornados,14,https://www.burnleyfootballclub.com,07537404821,Success
Burnham Ramblers,36,https://www.burnhamramblersfc.co.uk,07736901799,Success
Bursledon Youth FC,78,https://www.bursledon.com,07883256734,Success
Magic,33,https://www.magic.co.uk,07593139729,Success
Casteel,156,https://www.casteel.co.uk,07843020683,Success
Cathedral School,193,https://www.cathedralschool.co.uk,01245354459,Success
Castle United Youth,89,https://www.castle.co.uk,01513721234,Success
Castle,39,https://www.castle.co.uk,01513721234,Success
Woolley's,62,https://www.woolleys.co.uk,01734037071,Success
Centro Sportivo Imbersago,365,https://www.centrosportivoimbersago.com,01460790967,Success
Cheshire Lines Football Club,68,https://www.cheshirelines.co.uk,07850365063,Success
Chipstead,93,https://www.chipsteadfc.com,01737553250,Success
Chipstead,353,https://www.chipsteadfc.com,01737553250,Success
Clayesmore,121,https://www.clayesmore.com,01747813111,Success
Clitheroe FC,233,https://www.clitheroefc.co.uk,07788662294,Success
Colwyn Bay,232,https://www.colwynbayfc.co.uk,01492514680,Success
Peter Clarke,96,https://www.peterclarke.co.uk,01789415444,Success
Crendon Corinthians,42,https://www.crendoncorinthians.com,07747016140,Success
Croydon Cougars,148,https://www.croydoncougars.co.uk,07956212179,Success
CSMC,22,https://www.csmc.co.uk,01454338991,Success
Cumnock Juniors,158,https://www.cumnockjuniors.com,07923127092,Success
Dalkeith Thistle CFC,232,https://www.dalkeiththistlecfc.com,07923005534,Success
Deano's Pro Soccer,45,https://www.deanosprosoccer.com,07815974009,Success
DHILLONs,15,https://www.dhillons.com,07930639964,Success
Devonport Services RFC,210,https://www.devonportservicesrfc.com,01752562948,Success
Leon,37,https://www.leonfc.co.uk,07508243500,Success
Team,161,https://www.team.co.uk,07734263891,Success
FOOTBALL DOMINATION,314,https://www.footballdomination.com,07960480542,Success
Dosthill Colts,11,https://www.dosthillcoltsfc.co.uk,07862737701,Success
Roadrunners,83,https://www.roadrunners.com,07792268221,Success
Dryburgh Athletic,66,https://www.dryburgh.co.uk,01835822261,Success
Dre,35,https://www.dre.co.uk,01691654353,Success
Dunvant RFC,100,https://www.dunvantrfc.co.uk,07877917526,Success
Dunvant RFC,71,https://www.dunvantrfc.co.uk,07877917526,Success
Dundee FC Academy,552,https://www.dundeefc.co.uk,01382889966,Success
Dundee United,120,https://www.dundeefc.co.uk,01382889966,Success
DUOMO,26,https://www.duomo.co.uk,01905797989,Success
Dynamo Tekkers,74,https://www.dynamotekkers.com,07943135802,Success
Easington Sports FC,160,https://www.easingtonsportsfc.com,07791681204,Success
EMHS,88,https://www.emhs.co.uk,07444020161,Success
Edinburgh South CFC,229,https://www.edinburghsouthcfc.co.uk,07886304838,Success
ESC,73,https://www.escfc.co.uk,07886304838,Success
ESC,195,https://www.escfc.co.uk,07886304838,Success
Elite Football Coaching,218,https://www.elitefootballcoaching.co.uk,07515997111,Success
Magic,23,https://www.magic.co.uk,07593139729,Success
Elsecar Main,84,https://www.elsecarmain.co.uk,07951237691,Success
Elmstone fire,36,https://www.elmstonefire.com,01634395615,Success
ENG Sports UK,290,https://www.engsportsuk.co.uk,07376265748,Success
