Club_Name,Recordings,Website,Email,Phone,Status
13Sports,17,https://www.13sports.com,info@13sports.com,,Success
London Welsh RFC,141,https://www.londonwelshrfc.com,jonathan.shankland@londonwelshrfc.co.uk,,Success
Lobos Rush,23,https://www.lobosrush.com,playsoccer@lobosrush.com,,Success
210 FC,84,https://www.210fc.com,justin.thompson@210fc.com,,Success
210FC,37,https://www.210fc.com,justin.thompson@210fc.com,,Success
2 de mayo,322,https://www.2demayo.com,comercial@2dmayo.com,,Success
3FCAcademy,87,https://www.3fcacademy.co.uk,3fcacademy@gmail.com,07896725657,Success
360TFT,77,https://www.360tft.com,admin@360tft.com,07926679298,Success
4CORNERSPORT,32,https://www.4cornersport.co.uk,4cornersportcontact@gmail.com,07802839457,Success
Next Level,77,https://www.nextlevel.com,info@nextlevel.com,,Success
Huima,225,https://www.huima.com,asiakaspalvelu@huima.com,,Success
Tampa Bay United,30,https://www.tampabay.com,custserv@tampabay.com,,Success
FCF,152,https://www.fcf.com,admin@telepathy.com,,Success
Abbeyfeale RFC,40,https://www.abbeyfealerfc.com,office@abbeyfealerfc.com,,Success
Abbey Gate College,42,https://www.abbeygatecollege.co.uk,admin@abbeygatecollege.co.uk,,Success
Aarhus Fremad,406,https://www.aarhusfremad.com,bestyrelse@aarhusfremad.com,,Success
3Lions FC,82,https://www.3lions.com,service@atom.com,,Success
Abingdon,34,https://www.abingdonfc.com,recruitment@abingdonfc4.org,,Success
Abingdon United,159,https://www.abingdonfc.com,recruitment@abingdonfc4.org,,Success
Abingdon United,29,https://www.abingdonfc.com,recruitment@abingdonfc4.org,,Success
Ablope,162,https://www.ablope.com,info@ablope.com,,Success
Abingdon,331,https://www.abingdonfc.com,recruitment@abingdonfc4.org,,Success
AFCL,17,https://www.afcl.com,info@afcl.com,,Success
A23,375,https://www.a23.com,info@a23.com,,Success
Abinsay FC,612,https://www.abinsay.com,name@domain.com,,Success
Academica SC,45,https://www.academicasc.com,info@academicasc.com,,Success
AFC,36,https://www.afc.co.uk,contact@afc.co.uk,,Success
AC Amager,29,https://www.acamager.com,nikolaj@acamager.com,,Success
AC Amager Academy,13,https://www.acamager.com,nikolaj@acamager.com,,Success
AC Amager,45,https://www.acamager.com,nikolaj@acamager.com,,Success
AAFP,198,https://www.aafp.com,aafp@aafp.org,,Success
AC Connecticut,15,https://www.acconnecticut.com,info@acconnecticut.com,,Success
AC Connecticut,355,https://www.acconnecticut.com,info@acconnecticut.com,,Success
A.C.D. A Seca,85,https://www.acdaseca.com,comunicacion@acdaseca.com,,Success
Accrington Wildcats,23,https://www.accringtonwildcats.co.uk,,07581845510,Success
ACE sports,20,https://www.acesports.com,info@acesports.com,,Success
Amir Cohen,61,https://www.amircohen.com,support@pixelunion.net,,Success
ACcoaching,75,https://www.accoaching.co.uk,info@accoaching.co.uk,,Success
LEON,188,https://www.leonfc.co.uk,info@leonfc.co.uk,07508243500,Success
Ackworth Girls FC,18,https://www.ackworthgirlsfc.com,,07498740063,Success
Accelerated Development,45,https://www.accelerateddevelopment.com,info@accelerateddevco.com,,Success
A.C. TRENTO,287,https://www.actrento.com,ufficiostampa@actrento.com,,Success
AC Salisbury,41,https://www.acsalisbury.com,acsalisbury@crownsportscenter.com,,Success
Pro Palazzolo,55,https://www.propalazzolo.com,segreteria@propalazzolo.com,,Success
ASC USA,59,https://www.ascusa.com,service@ascusa.com,,Success
Ackworth School,19,https://www.ackworthschool.com,admissions@ackworthschool.com,,Success
Addlestone F.C,108,https://www.addlestonefc.co.uk,contactus@lynefc.co.uk,,Success
Adam Wilkinson,286,https://www.adamwilkinson.com,office@impactmeasurement.net,,Success
Addison,23,https://www.addison.com,info@addison.com,,Success
ACSI,172,https://www.acsi.co.uk,info@acsi.eu,,Success
Springs,75,https://www.springs.co.uk,enquiries@springs.co.uk,,Success
ADCV,110,https://www.adcv.com,info@adcv.com,,Success
AD Esperanza,72,https://www.adesperanza.com,club@adesperanza.com,,Success
AC Taipei,160,https://www.actaipei.com,contact@actaipei.com,,Success
Adour Dax Basket,38,https://www.adourdaxbasket.com,adour-dax-basket@orange.fr,,Success
AFDA Leicester,60,https://www.lcfc.com,lcfchelp@lcfc.co.uk,,Success
AFC Crewe,87,https://www.afccrewe.com,press@nufan.co.uk,,Success
Afc Chelmsley,26,https://www.afcchelmsley.co.uk,club.admin@afcchelmsley.co.uk,,Success
AFC,23,https://www.afc.co.uk,contact@afc.co.uk,,Success
AFC,38,https://www.afc.co.uk,contact@afc.co.uk,,Success
AFC Liverpool,42,https://www.liverpoolfc.com,contactus@liverpoolfc.com,,Success
Profe,179,https://www.profe.com,info@profe.com,,Success
AFC Chilton,28,https://www.afcchilton.co.uk,info@afcchilton.co.uk,,Success
AFC Liverpool,46,https://www.liverpoolfc.com,contactus@liverpoolfc.com,,Success
AFC Knowsley,226,https://www.afcknowsley.co.uk,enquiries@afcknowsley.co.uk,,Success
AFC,10,https://www.afc.co.uk,contact@afc.co.uk,,Success
AFC Gnosall,85,https://www.afcgnosall.co.uk,afc.gnosall@gmail.com,,Success
Fillies,69,https://www.fillies.co.uk,info@fillies.co.uk,07590422538,Success
AFC DWS,89,https://www.afcdws.com,info@afcdws.com,,Success
AFC,88,https://www.afc.co.uk,contact@afc.co.uk,,Success
AFC,112,https://www.afc.co.uk,contact@afc.co.uk,,Success
AFC Bolton,91,https://www.afcbolton.co.uk,,07856754649,Success
AFC,78,https://www.afc.co.uk,contact@afc.co.uk,,Success
Afc Lewisham,30,https://www.afclewisham.com,afclewisham@outlook.com,07961852271,Success
AD Parla,30,https://www.adparla.com,oficina@adparla.com,,Success
AFC Lewisham,14,https://www.afclewisham.com,afclewisham@outlook.com,07961852271,Success
AFC Stoneham,426,https://www.afcstoneham.co.uk,chairman@afcstoneham.co.uk,,Success
AFC SOUTHGATE,36,https://www.afcsouthgate.com,info@afcsouthgate.com,,Success
AFC Varsity,99,https://www.afcvarsity.co.uk,info@afcvarsity.co.uk,,Success
Lightning,134,https://www.lightningfc.co.uk,contact@lightningfc.co.uk,,Success
AFC Sudbury,622,https://www.afcsudbury.co.uk,secretary@afcsudbury.co.uk,,Success
Eagles,20,https://www.eaglesfc.co.uk,londoneaglesfc@gmail.com,,Success
FC St. Pauls,263,https://www.stpaulsfc.co.uk,,07700842455,Success
Diamonds,28,https://www.diamonds.com,concierge@diamonds.com,,Success
AFC Leyton,200,https://www.afcleyton.co.uk,info@afcleyton.co.uk,,Success
AFL,164,https://www.aflfc.com,info@aflfc.org,,Success
agbcm,36,https://www.agbcm.com,duboisolivia@hotmail.com,,Success
Aggies FC,379,https://www.aggiesfc.com,info@mysite.com,,Success
Aggies FC,12,https://www.aggiesfc.com,info@mysite.com,,Success
Aggies FC,19,https://www.aggiesfc.com,info@mysite.com,,Success
Aghabullogue GAA,23,https://www.aghabulloguegaa.com,pro.aghabullogue.cork@gaa.ie,,Success
UTA,45,https://www.uta.com,cards@uta.com,,Success
Agile srl,11,https://www.agilesrl.com,segreteria@agilesrl.com,,Success
Afif,12,https://www.afiffc.com,afifclup@hotmail.com,,Success
Airdrie FC,59,https://www.airdriefc.com,,07710230775,Success
A.D PARLA,50,https://www.adparla.com,oficina@adparla.com,,Success
Afc,33,https://www.afc.co.uk,contact@afc.co.uk,,Success
AKS Lytham,10,https://www.akslytham.com,info@akslytham.com,,Success
AFC,145,https://www.afc.co.uk,contact@afc.co.uk,,Success
Albe FC,77,https://www.albe.com,sales@albe.com,,Success
AFC,38,https://www.afc.co.uk,contact@afc.co.uk,,Success
AGUILAS FC,21,https://www.aguilasfc.com,aguilasfcreedley@gmail.com,,Success
Alamein FC,319,https://www.alamein.com,marketing@alamein.com,,Success
Aguilas,56,https://www.aguilasfc.com,aguilasfcreedley@gmail.com,,Success
Akaw Sports,11,https://www.akawsports.com,info@akawsports.com,,Success
Alder FC,20,https://www.alderfc.com,alderfutbolclub@gmail.com,,Success
Alconbury Colts,79,https://www.alconburycolts.com,admin.assc@btconnect.com,,Success
Coach Alex,226,https://www.coachalex.com,coachalex@soccerlearningcenter.com,,Success
Alchemy,31,https://www.alchemy.com,press@alchemy.com,,Success
Albyn School,79,https://www.albynschool.co.uk,info@albynschool.org,,Success
Alexandra Park Football Club,30,https://www.alexandraparkfc.co.uk,apfcnews@gmail.com,,Success
Sheffield United Academy,2651,https://www.sheffieldfc.com,info@sheffieldfc.com,,Success
ALL4T,219,https://www.all4t.com,chris@all4t.com,,Success
Allbrads,443,https://www.allbrads.com,contacto@allbrads.com,,Success
Alexander,65,https://www.alexander.co.uk,info@alexander.co.uk,01618324841,Success
Alexander,544,https://www.alexander.co.uk,info@alexander.co.uk,01618324841,Success
Twins FC,79,https://www.twins.com,privacy@website.mlb.com,,Success
Al Hilal,30,https://www.alhilalfc.com,iraid@me.com,,Success
AFC,173,https://www.afc.co.uk,contact@afc.co.uk,,Success
Alliance Soccer Club,18,https://www.alliancesoccerclub.com,doc@alliancesoccerclub.com,,Success
Alliance Soccer Club,35,https://www.alliancesoccerclub.com,doc@alliancesoccerclub.com,,Success
All In FC,176,https://www.allinfc.com,mark.mackain@allinfc.com,,Success
Alliance Soccer Club,59,https://www.alliancesoccerclub.com,doc@alliancesoccerclub.com,,Success
Alliance Soccer Club,40,https://www.alliancesoccerclub.com,doc@alliancesoccerclub.com,,Success
Dawson,71,https://www.dawson.com,information@dawson.com,,Success
All-in,56,https://www.allinfc.com,mark.mackain@allinfc.com,,Success
ALL IN,14,https://www.allinfc.com,mark.mackain@allinfc.com,,Success
All In FC,20,https://www.allinfc.com,mark.mackain@allinfc.com,,Success
AFC,157,https://www.afc.co.uk,contact@afc.co.uk,,Success
ALL IN,143,https://www.allinfc.com,mark.mackain@allinfc.com,,Success
Alliance Soccer Club,14,https://www.alliancesoccerclub.com,doc@alliancesoccerclub.com,,Success
SF Glens,45,https://www.sfglens.com,info@sfglens.com,,Success
All-in FC,10,https://www.allinfc.com,mark.mackain@allinfc.com,,Success
AL IHSAAN FC,19,https://www.alihsaan.com,alihsaan.mu@gmail.com,,Success
Allerton FC,43,https://www.allertonfc.co.uk,allertonfootballclub@gmail.com,07599451890,Success
Alliance SC,49,https://www.alliancesc.co.uk,,01162795185,Success
ASH,37,https://www.ash.com,cs@ash.com,,Success
Alloa Athletic FC,55,https://www.alloa.com,alloa@alloa.fr,,Success
Basketball,169,https://www.basketball.com,amiller@hilcoglobal.com,,Success
Allscott Heath FC,110,https://www.allscottheathfc.com,support@webador.com,,Success
Allenwood,49,https://www.allenwood.co.uk,info@any-village.co.uk,,Success
Allen Gaels,94,https://www.allengaels.com,allengaelsgaa@gmail.com,,Success
All Sports 4 Kids,16,https://www.allsports4kids.com,contact@allsports4kids.com,,Success
Allegiant FC,21,https://www.allegiant.co.uk,helpdesk@allegiant-finance.co.uk,,Success
Alpha,55,https://www.alphafc.co.uk,admin@alphafc.co.uk,07956122207,Success
