Club_Name,Recordings,Website,Email,Phone,Status
JFC,87,https://www.jfc.com,,,Success
FC Dallas,11,https://www.dallas.com,,,Success
PPNS,57,https://www.ppns.com,,,Success
NEWARK FC,2026,https://www.newark.com,,,Success
Cross City SC,134,https://www.crosssc.com,,,Success
FC Dallas,85,https://www.dallas.com,,,Success
15-1,48,https://www.151fc.com,,,Success
SKFS,295,https://www.skfs.com,,,Success
FC Erlensee,81,https://www.erlensee.com,,,Success
JB Marine SC,182,https://www.jbmarinesc.com,,,Success
2013 Crusaders AAA,16,https://www.crusadersfc.com,,,Success
Erlensee,13,https://www.erlensee.com,,,Success
Pats,16,https://www.pats.co.uk,,,Success
Private,372,https://www.private.com,,,Success
CCSA,77,https://www.ccsafc.co.uk,,,Success
GFC,35,https://www.gfc.com,,,Success
FC Dallas,96,https://www.dallas.com,,,Success
Conrow,243,https://www.conrow.com,,,Success
Sparta United,44,https://www.spartafc.com,,,Success
Blues,39,https://www.blues.com,,,Success
NFC,35,https://www.nfc.co.uk,,,Success
2023,104,https://www.2023.com,,,Success
Player Development Academy,143,https://www.playerdevelopment.com,,,Success
FCN,47,https://www.fcn.co.uk,,,Success
360 Soccer Centre,134,https://www.360soccercentre.com,,,Success
4Cantera,18,https://www.4cantera.com,,,Success
TKO,77,https://www.tko.com,,,Success
49er United,28,https://www.49er.com,,,Success
Lakeshore,55,https://www.lakeshorefc.com,,,Success
805 FC,137,https://www.805.com,,,Success
801 Tribe,10,https://www.801tribe.com,,,Success
460 Lacrosse,185,https://www.460lacrosse.com,,,Success
336,62,https://www.336fc.com,,,Success
24/8,26,https://www.248.co.uk,,,Success
360 Talent FC,43,https://www.360talent.co.uk,,,Success
A27.,99,https://www.a27.co.uk,,,Success
2015s,22,https://www.2015s.com,,,Success
360 Talent Football Club,48,https://www.360talent.co.uk,,,Success
AaB,1000,https://www.aab.com,,,Success
A.A.F.C,190,https://www.aafc.com,,,Success
BELSTONE FC,165,https://www.belstonefc.com,,,Success
A-Aron Veo,35,https://www.aaronfc.com,,,Success
5v5 Soccer,111,https://www.5v5soccer.com,,,Success
433 Academy,103,https://www.433fc.com,,,Success
AAC Academy,212,https://www.aac.com,,,Success
3:23,217,https://www.323.co.uk,,,Success
345 FC,146,https://www.345.co.uk,,,Success
Self-employed,74,https://www.selfemployed.com,,,Success
AATA,60,https://www.aata.co.uk,,,Success
Abbotsford Rugby,178,https://www.abbotsfordrugby.com,,,Success
AGF,21,https://www.agf.co.uk,,,Success
A3 Soccer,161,https://www.a3soccer.com,,,Success
Pumas,25,https://www.pumas.co.uk,,,Success
Aberdeen Wanderers,42,https://www.aberdeenwanderers.com,,,Success
956 United,112,https://www.956.com,,,Success
Abbey Hey Fc,179,https://www.abbeyheyfc.co.uk,,,Success
A3 Soccer,15,https://www.a3soccer.com,,,Success
Abraham,57,https://www.abraham.com,,,Success
AHS,134,https://www.ahs.com,,,Success
ARFC,146,https://www.arfc.co.uk,,,Success
Abington Youth Football,27,https://www.abingtonfootball.com,,,Success
Acacia Ridge FC,112,https://www.acaciaridgefc.com,,,Success
Atlas fc,174,https://www.atlasfc.co.uk,,,Success
AFPD,21,https://www.afpd.com,,,Success
Aberdare Town,15,https://www.aberdare.com,,,Success
Aberdeen Football Club,38,https://www.aberdeen.com,,,Success
Academy Sant'Agata,14,https://www.santagata.com,,,Success
Aberfeldy RFC,26,https://www.aberfeldyrfc.co.uk,,,Success
LFA,191,https://www.lfa.com,,,Success
Abergavenny Town,37,https://www.abergavenny.co.uk,,,Success
Aber Valley Wolves,71,https://www.abervalleywolves.com,,,Success
Pumas,50,https://www.pumas.co.uk,,,Success
ACAA,10,https://www.acaa.com,,,Success
Aberdeen Football Club,27,https://www.aberdeen.com,,,Success
AC CRETEIL,19,https://www.accreteil.com,,,Success
ASAR,179,https://www.asar.com,,,Success
HeartsofOak,21,https://www.heartsfc.co.uk,,,Success
Agf,18,https://www.agf.co.uk,,,Success
Accel,10,https://www.accel.com,,,Success
ACBB,427,https://www.acbb.com,,,Success
Right to Dream,433,https://www.righttodream.com,,,Success
ACAKORO,32,https://www.acakoro.com,,,Success
AC Creteil,26,https://www.accreteil.com,,,Success
Accelerax,106,https://www.accelerax.com,,,Success
Shooting Stars,118,https://www.shootingstars.com,,,Success
PEREIRA,12,https://www.pereira.co.uk,,,Success
Academia FC,170,https://www.academia.com,,,Success
LaRocca,168,https://www.larocca.com,,,Success
Accrington Stanley Football Club,417,https://www.accringtonstanley.co.uk,,,Success
Accrington Stanley,83,https://www.accringtonstanley.co.uk,,,Success
AC Global,163,https://www.acglobal.co.uk,,,Success
AC.gloria,269,https://www.acgloria.com,,,Success
ACM Academy,15,https://www.acmfc.com,,,Success
Ac Los banos,11,https://www.aclosbanos.com,,,Success
ACE,78,https://www.ace.com,,,Success
Morrone,35,https://www.morrone.co.uk,,,Success
Milano,65,https://www.milanofc.com,,,Success
Achilles FC,61,https://www.achilles.com,,,Success
Achilles Town FC,24,https://www.achilles.com,,,Success
Achilles FC,303,https://www.achilles.com,,,Success
AEWFC,11,https://www.aewfc.co.uk,,,Success
AC LEON,26,https://www.acleon.com,,,Success
Sparta,12,https://www.spartafc.com,,,Success
Across,148,https://www.acrossfc.com,,,Success
A Club,40,https://www.aclubfc.com,,,Success
AD Arganda,40,https://www.adarganda.com,,,Success
All-stars,136,https://www.allstarsfc.com,,,Success
AD Baiao,101,https://www.adbaiao.com,,,Success
Adam,17,https://www.adam.com,,,Success
ACTIVE,157,https://www.active.com,,,Success
Advanced Coaching Education,166,https://www.advancedcoachingeducation.co.uk,,,Success
ACQUI,259,https://www.acqui.co.uk,,,Success
Adelaide Jaguars,111,https://www.adelaidejaguars.com,,,Success
Buds,173,https://www.buds.co.uk,,,Success
ADR,22,https://www.adr.com,,,Success
AOFC,19,https://www.aofc.com,,,Success
adiLeague,22,https://www.adileague.com,,,Success
Bisi Veo,153,https://www.bisi.com,,,Success
A.D.C ABETXUKO,51,https://www.adcabetxuko.com,,,Success
AD CALA POZUELO,60,https://www.adcalapozuelo.com,,,Success
ACR,54,https://www.acr.com,,,Success
IP STORE,54,https://www.ipstore.co.uk,,,Success
Adam Wilson,31,https://www.adamwilson.co.uk,,,Success
Across The Waves Football Club,28,https://www.acrossthewaves.com,,,Success
AMSA,44,https://www.amsafc.com,,,Success
Amsterdamsche Football Club,112,https://www.amsterdamsche.com,,,Success
AFC Dunstable -,85,https://www.afcdunstable.com,,,Success
AEK,12,https://www.aek.com,,,Success
Advanced Painting,112,https://www.advancedpainting.com,,,Success
AEK,778,https://www.aek.com,,,Success
AFC Corsham,135,https://www.afccorsham.co.uk,,,Success
AEK-BOCO FC,142,https://www.aekbocofc.co.uk,,,Success
AFC Brooklands,21,https://www.afcbrooklands.co.uk,,,Success
AFC Ewell,10,https://www.afcewell.com,,,Success
AFC Ewell,214,https://www.afcewell.com,,,Success
ADPT FC,218,https://www.adpt.com,,,Success
Archers,60,https://www.archers.com,,,Success
AFC Lytham,59,https://www.afclytham.com,,,Success
Advantage,19,https://www.advantage.com,,,Success
Afan Lido FC,68,https://www.afanlidofc.com,,,Success
AFC St Austell,67,https://www.afcstaustell.co.uk,,,Success
AFC Oakley,35,https://www.afcoakley.co.uk,,,Success
Aegis Academy,20,https://www.aegis.com,,,Success
AFCB,10,https://www.afcbfc.com,,,Success
AFC Minster,97,https://www.afcminster.co.uk,,,Success
AFC Pogmoor,200,https://www.afcpogmoor.co.uk,,,Success
AFC Lightning,13,https://www.afclightning.co.uk,,,Success
AFC Fylde,76,https://www.afcfylde.com,,,Success
Afc Totton,87,https://www.afctotton.com,,,Success
AFC Wimbledon,19,https://www.afcwimbledon.co.uk,,,Success
AFC Totton,108,https://www.afctotton.com,,,Success
Totton,156,https://www.totton.co.uk,,,Success
AFC Totton,78,https://www.afctotton.com,,,Success
AFC Portchester,191,https://www.afcportchester.co.uk,,,Success
AFC Walcountians,87,https://www.afcwalcountians.co.uk,,,Success
