Club Name,Phones,Emails,Website,Facebook,Twitter,Instagram,YouTube
Access Sport,0117 450 9805 (contactUsIntro | Bristol); 0207 993 9883 (contactUsIntro | 0117 450 9805); 117 450 9805 (contactUsIntro | Bristol); 207 993 9883 (contactUsIntro | 0117 450 9805),,https://www.accesssport.org.uk/contact,,,,
Ambassadors FC,07752758444 (club-contacts | estevenson@ambassadorsfootball.org); 0775275844 (club-contacts | estevenson@ambassadorsfootball.org),estevenson@ambassadorsfootball.org,https://www.irishfa.com/find-a-club/ambassadors-fc,,,,
NEWARK FC,01636233125 (Ground:); 07768179894 (chriswade1126@gmail.com); 07985729184 (Stuart Miller | Secretary:); 07985729184 (Stuart Miller | Secretary:); 0163623312 (Ground:); 0776817989 (chriswade1126@gmail.com); 0798572918 (Stuart Miller | Secretary:); 0798572918 (Stuart Miller | Secretary:),david.hurstfield@hotmail.co.uk; dave.roberts0101@gmail.com; admin@theucl.co.uk; stuart.miller403@ntlworld.com; chriswade1126@gmail.com; Stuart.miller403@ntlworld.com; craig_mountney@yahoo.co.uk,https://theucl.co.uk/clubs/newark-town/,,,,
AGF,1737677282 (Access Denied | Access Denied); 1737677282 (Access Denied | Access Denied),,https://int.soccerway.com/teams/denmark/agf-aarhus/,,,,
Albion SC Las Vegas,(702) 750-3160 (General),albionjuniors@albionsclv.org; info@albionsclv.org,https://www.albionsclv.org/contact-us/albion-sc-las-vegas-business-office,,,,
ALBION SC Boulder County,,info@albionscbouldercounty.org,https://www.albionscbouldercounty.org/contact-us,,,,
Gomar,2547995110 (General); 2547995110 (General),jujitsu@qub.ac.uk; fencing@qub.ac.uk; riding-club@qub.ac.uk; snowsports@qub.ac.uk; sailing@qub.ac.uk; motor-club@qub.ac.uk; triathlon@qub.ac.uk; floorball@qub.ac.uk; ladies-soccer@qub.ac.uk; muaythai@qub.ac.uk; underwaterhockey@qub.ac.uk; mountaineering@qub.ac.uk; dance@qub.ac.uk; trampoline@qub.ac.uk; sub-aqua@qub.ac.uk; boxing@qub.ac.uk; taiJitsu-club@qub.ac.uk; handball-club@qub.ac.uk; skydiving@qub.ac.uk; mens-soccer@qub.ac.uk; taekwondo@qub.ac.uk; waterski-club@qub.ac.uk; cheerleading@qub.ac.uk; brazilianjujitsu@qub.ac.uk; snooker@qub.ac.uk; airsoft@qub.ac.uk; olympichandball@qub.ac.uk; archery@qub.ac.uk; aikido@qub.ac.uk; paddlesport@qub.ac.uk; ladies-volleyball@qub.ac.uk; athletics@qub.ac.uk; mens-volleyball@qub.ac.uk; tabletennis-club@qub.ac.uk; golf-club@qub.ac.uk; hurling-club@qub.ac.uk; queens5k@qub.ac.uk; surf-club@qub.ac.uk; mens-basketball@qub.ac.uk; ladies-hockey@qub.ac.uk; caving@qub.ac.uk; camogie@qub.ac.uk; squash@qub.ac.uk; cricket@qub.ac.uk; lacrosse@qub.ac.uk; netball-club@qub.ac.uk; mens-hockey@qub.ac.uk; tennis@qub.ac.uk; judo@qub.ac.uk; badminton@qub.ac.uk; mens-boat-club@qub.ac.uk; mens-gaelic@qub.ac.uk; ultimatefrisbee@qub.ac.uk; aerialfitness@qub.ac.uk; ladies-boat-club@qub.ac.uk; dodgeball@qub.ac.uk; rugby@qub.ac.uk; ladies-gaelic@qub.ac.uk; ladies-basketball@qub.ac.uk; wadoryu-karate@qub.ac.uk; swimming-waterpolo@qub.ac.uk; ladies-rugby@qub.ac.uk,https://www.queenssport.com/StudentSport/ClubContacts/,,,,
Academia Germana,,info@dfa-web.deSponsered,https://deutsche-fussball-akademie.de/en/,,,,
Adamstown Rosebud Junior Football Club,2627910419 (Interested? Fill in our EOI form now),rosebudjuniors@hotmail.com; budspresident@hotmail.com; secretary@adamstownrosebudfc.org.au; budswpl@hotmail.com,https://adamstownrosebudfc.org.au/contact/,,,,
AL AIN FC YOUTH ACADEMY,,info@alainclub.ae,https://alainclub.ae/en/contact-us/,,,,
