Club Name,Recordings,Phones_Count,Emails_Count,Phones,Emails,Website,Facebook,Sources,Strategies_Used
INSTITUTE OF SPORTS ANALYSIS,424,0,0,,,,,,Official Website Search; Facebook Search; Validated Google Search
Crusaders FC,323,2,6,07511735868; +44 2890370777,manager@crusadersfc.comcrusaders; generalmanager@crusadersfc.com; john@sportsglobal.co.uk; chairman@crusadersfc.com; crusadersfcdisability@gmail.com; themightyfrog@live.co.crusaders,,,"Google search: ""Crusaders FC"" phone email contact Northern Ireland; Google search: Crusaders FC football club contact details phone",Official Website Search; Facebook Search; Validated Google Search
Bangor FC,306,4,3,07729105394; 01248355852; +44 7983732221; 02842721609,elaine@trusthouze.co.uk; info@442teamwear.com; info@bangoryoungmenfc.co.uk,,,"Google search: ""Bangor FC"" phone email contact Northern Ireland; Google search: Bangor FC football club contact details phone",Official Website Search; Facebook Search; Validated Google Search
Greenisland FC,293,4,2,07724723854; 07730230346; 07783877545; 07714246287,greenislandfc95@gmail.com; gillowaylaurence@gmail.com,,,"Google search: ""Greenisland FC"" phone email contact Northern Ireland; Google search: Greenisland FC football club contact details phone",Official Website Search; Facebook Search; Validated Google Search
Larne FC,242,4,4,02828329149; +44 2828275333; +44 2871302129; 02828275333,info@larnefc.com; molliegilmore@larnefc.com; youth@larnefc.com; commercial@larnefc.com,,,"Google search: ""Larne FC"" phone email contact Northern Ireland; Google search: Larne FC football club contact details phone",Official Website Search; Facebook Search; Validated Google Search
Armagh City FC,216,3,5,02825659490; 07807921369; 02837511560,ni@cashforkids.org.uk; armaghcityladiesfc@hotmail.com.armagh; info@armaghcityfc.co.uk; email@dsni.co.uk; linzidc@hotmail.co.uk,,,"Google search: ""Armagh City FC"" phone email contact Northern Ireland; Google search: Armagh City FC football club contact details phone",Official Website Search; Facebook Search; Validated Google Search
Crusaders,204,6,5,07875081947; 07714931933; +44 2890370777; 07411654501; 01582589850; 02890370777,generalmanager@crusadersfc.com; john@sportsglobal.co.uk; irelandemail@urbansaints.org; strikersadmin@crusadersfc.com; manager@crusadersfc.com,,,"Facebook: https://www.facebook.com/CrusadersFCOfficial/; Google search: ""Crusaders"" phone email contact Northern Ireland; Google search: Crusaders football club contact details phone",Official Website Search; Facebook Search; Validated Google Search
Glenavon FC,196,1,5,02838322472,football@glenavonfc.com; academy@glenavonfc.com...glenavon; secretary@glenavonfc.comglenavon; secretary@glenavonfc.com; academy@glenavonfc.com,,,"Google search: ""Glenavon FC"" phone email contact Northern Ireland; Google search: Glenavon FC football club contact details phone",Official Website Search; Facebook Search; Validated Google Search
COMBER REC FC,192,0,5,,private.office@finance-ni.gov.uk; comberrecfc@yahoo.com; comberrec.ladiesfc@gmail.com.people; sports@communities-ni.gov.uk; robertc@sky.com,,,"Google search: ""COMBER REC FC"" phone email contact Northern Ireland; Google search: COMBER REC FC football club contact details phone",Official Website Search; Facebook Search; Validated Google Search
Institute FC,182,5,8,07838113310; 07858097290; 07712152915; 07794666754; 07732370403,truegooner1998@gmail.com.club; secretary@institutefc.co.uk; charliemcgirr@hotmail.co.uk; truegooner1998@gmail.com; institutefc@yahoo.co.uk; gm@institutefc.co.uk; private.office@communities-ni.gov.uk; wj.scampton@gmail.com,,,"Google search: ""Institute FC"" phone email contact Northern Ireland; Google search: Institute FC football club contact details phone",Official Website Search; Facebook Search; Validated Google Search
