name,source,url,country,level,type,scraped_date
Clubs,Premier League,https://www.premierleague.com/clubs,England,premier,club_listing,2025-08-03
Aberdeen,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Airdrieonians,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Alloa Athletic,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Annan Athletic,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Arbroath,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Ayr United,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Celtic,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Clyde,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Cove Rangers,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Dumbarton,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Dundee,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Dundee United,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Dunfermline Athletic,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
East Fife,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
East Kilbride,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Edinburgh City,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Elgin City,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Falkirk,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Forfar Athletic,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Greenock Morton,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Hamilton Academical,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Heart of Midlothian,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Hibernian,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Inverness Caledonian Thistle,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Kelty Hearts,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Kilmarnock,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Livingston,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Montrose,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Motherwell,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Partick Thistle,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Peterhead,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Queen of the South,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Queen&#039;s Park,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Raith Rovers,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Rangers,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Ross County,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
St. Johnstone,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
St. Mirren,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Stenhousemuir,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Stirling Albion,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Stranraer,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
The Spartans,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Brechin City,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03
Kent Green United,Kent FA,https://www.kentfa.com/clubs,England,county,county_fa,2025-08-03
Setting up a club,Kent FA,https://www.kentfa.com/clubs,England,county,county_fa,2025-08-03
Find out more about the people you need at your club,Liverpool FA,https://www.liverpoolfa.com/clubs,England,county,county_fa,2025-08-03
Brora Rangers,SPFL,https://spfl.co.uk/clubs,Scotland,league,scottish_league,2025-08-03
